,L2/3 IT CTX-1,L4/5 IT CTX,L5 IT CTX,L5 NP CTX,L5 PT CTX,L6 CT CTX,L6 IT CTX,L6b CTX,Lamp5,Sst,Vip
13200_43600,9.40E-02,1.02E-01,1.07E-01,1.21E-02,3.38E-02,8.99E-03,1.10E-02,8.03E-04,9.46E-02,1.14E-01,4.22E-01
14000_20400,3.63E-02,4.94E-02,2.21E-01,4.09E-02,7.34E-02,3.93E-02,2.55E-01,1.75E-02,3.94E-02,8.24E-02,1.45E-01
14000_21200,9.00E-02,9.23E-02,1.23E-01,6.13E-02,5.31E-02,3.57E-02,1.13E-01,6.44E-03,5.28E-02,9.77E-02,2.75E-01
14000_22000,8.85E-02,1.05E-01,1.87E-01,5.02E-02,6.32E-02,2.06E-02,5.84E-02,4.49E-03,9.65E-02,6.03E-02,2.66E-01
14000_22800,1.21E-01,6.38E-02,1.30E-01,6.98E-02,3.31E-02,2.75E-02,9.78E-02,3.84E-03,2.44E-01,5.53E-02,1.54E-01
14000_23600,8.64E-02,1.07E-01,8.17E-02,7.98E-02,3.23E-02,2.37E-02,8.89E-02,4.44E-03,2.03E-01,8.51E-02,2.07E-01
14000_24400,1.18E-01,5.95E-02,1.36E-01,6.31E-02,2.99E-02,3.36E-02,1.43E-01,6.44E-03,1.96E-01,9.62E-02,1.19E-01
14000_25200,2.94E-02,8.03E-02,5.18E-02,5.20E-02,2.51E-02,1.58E-02,7.32E-02,3.61E-03,4.52E-01,8.85E-02,1.29E-01
14000_26000,5.46E-02,5.67E-02,1.35E-01,6.21E-02,4.05E-02,4.62E-02,1.69E-01,1.08E-02,1.83E-01,1.32E-01,1.10E-01
14000_26800,1.04E-02,5.58E-02,1.43E-01,3.00E-02,4.05E-02,1.47E-02,1.10E-01,9.60E-03,4.32E-01,9.74E-02,5.66E-02
14000_27600,3.51E-02,7.47E-02,1.30E-01,6.73E-02,4.43E-02,4.65E-02,8.38E-02,1.06E-02,2.49E-01,1.64E-01,9.44E-02
14000_28400,5.00E-02,9.65E-02,7.66E-02,6.15E-02,3.03E-02,3.18E-02,4.28E-02,5.08E-03,3.29E-01,1.48E-01,1.29E-01
14000_29200,6.49E-02,7.66E-02,9.52E-02,1.96E-01,2.17E-02,9.25E-02,5.94E-02,7.30E-03,9.40E-02,1.19E-01,1.73E-01
14000_30000,3.49E-02,8.85E-02,1.52E-01,4.94E-02,6.75E-02,3.27E-02,1.77E-01,1.49E-02,4.51E-02,1.99E-01,1.39E-01
14000_30800,3.30E-02,3.94E-02,1.96E-01,1.01E-01,3.92E-02,1.12E-01,2.34E-01,2.81E-02,3.00E-02,1.19E-01,6.76E-02
14000_31600,7.51E-02,4.96E-02,1.89E-01,1.21E-01,4.10E-02,1.34E-01,1.31E-01,2.32E-02,4.24E-02,1.03E-01,9.08E-02
14000_32400,5.72E-02,3.44E-02,2.87E-01,3.81E-02,5.30E-02,8.12E-02,1.40E-01,1.30E-02,4.02E-02,1.69E-01,8.76E-02
14000_33200,3.58E-02,3.17E-02,5.04E-01,2.45E-02,6.27E-02,3.16E-02,1.09E-01,9.07E-03,3.72E-02,8.18E-02,7.24E-02
14000_34000,2.01E-02,1.98E-02,6.26E-01,1.33E-02,4.11E-02,1.78E-02,1.06E-01,3.82E-03,3.21E-02,6.71E-02,5.31E-02
14000_34800,2.03E-02,6.29E-02,3.93E-01,2.94E-02,9.86E-02,1.92E-02,1.11E-01,1.38E-02,6.16E-02,9.12E-02,9.85E-02
14000_35600,2.32E-02,2.78E-02,4.28E-01,3.02E-02,4.72E-02,4.91E-02,1.81E-01,9.80E-03,5.73E-02,7.72E-02,6.86E-02
14000_36400,1.03E-02,3.76E-02,3.19E-01,2.50E-02,6.12E-02,1.87E-02,2.65E-01,1.03E-02,4.87E-02,1.29E-01,7.54E-02
14000_37200,1.13E-02,2.32E-02,1.82E-01,3.48E-02,3.17E-02,4.72E-02,4.40E-01,1.33E-02,4.78E-02,1.18E-01,5.05E-02
14000_38000,1.29E-02,4.95E-02,2.63E-01,3.16E-02,6.52E-02,2.40E-02,2.49E-01,1.50E-02,8.53E-02,1.26E-01,7.88E-02
14000_38800,1.18E-02,2.49E-02,1.37E-01,2.99E-02,3.41E-02,3.74E-02,5.17E-01,1.71E-02,5.08E-02,9.66E-02,4.40E-02
14000_39600,1.19E-02,3.47E-02,1.47E-01,3.47E-02,4.63E-02,3.41E-02,4.28E-01,1.86E-02,3.63E-02,1.47E-01,6.16E-02
14000_40400,2.44E-02,2.81E-02,1.60E-01,3.71E-02,4.25E-02,7.34E-02,3.42E-01,1.82E-02,4.70E-02,1.59E-01,6.87E-02
14000_41200,1.68E-02,2.36E-02,1.62E-01,3.35E-02,3.62E-02,4.78E-02,4.67E-01,1.72E-02,3.94E-02,1.09E-01,4.77E-02
14000_42000,1.91E-01,2.16E-02,5.53E-02,4.45E-02,1.31E-02,2.36E-01,4.01E-02,3.00E-03,1.03E-01,1.47E-01,1.46E-01
14000_42800,4.02E-02,1.78E-01,3.39E-02,3.31E-02,3.17E-02,9.11E-03,1.55E-02,1.87E-03,7.48E-02,1.68E-01,4.14E-01
14000_43600,2.19E-02,8.03E-02,3.22E-02,1.06E-03,1.35E-02,6.72E-04,4.40E-04,2.98E-05,9.11E-02,1.08E-01,6.51E-01
14000_46800,3.77E-02,2.64E-02,8.09E-02,8.59E-02,2.28E-02,3.61E-02,3.74E-01,1.82E-02,5.49E-02,2.38E-01,2.54E-02
14800_20400,3.12E-02,1.33E-01,1.93E-01,4.67E-02,8.42E-02,1.00E-02,5.51E-02,3.58E-03,3.73E-02,5.33E-02,3.53E-01
14800_21200,1.08E-01,8.66E-02,1.48E-01,5.81E-02,4.57E-02,3.30E-02,8.21E-02,4.62E-03,1.35E-01,6.02E-02,2.38E-01
14800_22000,6.67E-02,9.46E-02,1.26E-01,5.27E-02,4.34E-02,1.32E-02,1.04E-01,3.03E-03,1.41E-01,6.17E-02,2.94E-01
14800_22800,7.18E-02,5.73E-02,1.71E-01,4.94E-02,4.94E-02,3.26E-02,2.14E-01,6.33E-03,9.33E-02,9.33E-02,1.61E-01
14800_23600,8.03E-03,7.29E-02,9.15E-03,1.40E-02,5.87E-03,1.44E-03,5.54E-03,2.47E-04,6.89E-01,6.09E-02,1.33E-01
14800_24400,6.45E-02,6.54E-02,7.91E-02,1.30E-01,2.41E-02,7.44E-02,1.08E-01,9.87E-03,2.42E-01,1.05E-01,9.75E-02
14800_25200,1.97E-02,6.49E-02,4.58E-02,6.36E-02,1.44E-02,3.28E-02,3.07E-02,2.33E-03,4.51E-01,1.41E-01,1.34E-01
14800_26000,6.69E-03,5.09E-02,3.83E-02,2.29E-02,1.71E-02,6.18E-03,4.78E-02,2.43E-03,6.61E-01,9.26E-02,5.46E-02
14800_26800,1.14E-02,4.20E-02,3.91E-02,2.56E-02,1.57E-02,8.65E-03,5.44E-02,3.15E-03,6.33E-01,1.21E-01,4.58E-02
14800_27600,5.60E-02,3.29E-02,1.42E-01,8.75E-02,3.17E-02,1.23E-01,2.20E-01,1.89E-02,6.13E-02,1.72E-01,5.57E-02
14800_28400,6.27E-02,3.50E-02,2.04E-01,5.15E-02,4.45E-02,5.44E-02,2.74E-01,1.39E-02,1.03E-01,9.27E-02,6.36E-02
14800_29200,4.25E-02,7.74E-02,1.23E-01,1.47E-01,3.35E-02,7.64E-02,1.27E-01,1.27E-02,8.44E-02,1.77E-01,9.84E-02
14800_30000,5.45E-02,5.33E-02,1.55E-01,8.75E-02,4.46E-02,1.22E-01,1.71E-01,2.24E-02,5.25E-02,1.26E-01,1.11E-01
14800_30800,3.70E-02,5.57E-02,2.19E-01,3.70E-02,7.75E-02,3.65E-02,2.37E-01,2.01E-02,7.28E-02,1.07E-01,1.00E-01
14800_31600,1.50E-01,1.73E-02,1.09E-01,4.93E-02,2.07E-02,2.93E-01,7.34E-02,9.03E-03,4.32E-02,1.52E-01,8.31E-02
14800_32400,2.11E-02,5.36E-02,4.05E-01,2.38E-02,8.11E-02,1.85E-02,9.88E-02,9.47E-03,2.77E-02,1.48E-01,1.13E-01
14800_33200,5.71E-02,2.85E-02,3.78E-01,5.71E-02,3.98E-02,1.14E-01,1.10E-01,1.28E-02,4.06E-02,1.02E-01,5.89E-02
14800_34000,1.49E-02,4.09E-02,4.63E-01,2.35E-02,7.12E-02,1.85E-02,1.42E-01,8.74E-03,4.40E-02,8.80E-02,8.56E-02
14800_34800,1.66E-02,3.28E-02,4.35E-01,1.89E-02,5.76E-02,1.77E-02,1.70E-01,7.15E-03,4.51E-02,1.32E-01,6.69E-02
14800_35600,4.21E-02,3.50E-02,3.23E-01,3.71E-02,6.80E-02,5.27E-02,2.22E-01,1.73E-02,4.33E-02,8.38E-02,7.63E-02
14800_36400,2.00E-02,2.50E-02,2.48E-01,2.87E-02,4.40E-02,5.01E-02,3.16E-01,1.18E-02,4.69E-02,1.44E-01,6.65E-02
14800_37200,5.55E-03,2.68E-02,1.37E-01,2.08E-02,3.80E-02,1.89E-02,4.77E-01,1.07E-02,3.89E-02,1.64E-01,6.17E-02
14800_38000,2.62E-02,3.57E-02,1.54E-01,4.44E-02,4.79E-02,5.89E-02,3.65E-01,2.57E-02,6.00E-02,1.26E-01,5.58E-02
14800_38800,2.68E-02,1.98E-02,2.14E-01,2.83E-02,4.57E-02,4.18E-02,4.16E-01,1.44E-02,2.03E-02,1.21E-01,5.18E-02
14800_39600,2.09E-02,2.00E-02,1.54E-01,3.03E-02,3.14E-02,5.89E-02,4.60E-01,1.55E-02,5.25E-02,1.17E-01,4.07E-02
14800_40400,3.30E-02,2.56E-02,2.07E-01,3.64E-02,4.48E-02,6.17E-02,3.78E-01,2.06E-02,4.34E-02,9.41E-02,5.52E-02
14800_41200,1.07E-01,3.99E-02,1.54E-01,7.26E-02,3.81E-02,1.72E-01,1.09E-01,1.70E-02,8.08E-02,1.03E-01,1.05E-01
14800_42000,1.16E-01,3.30E-02,2.07E-01,7.63E-02,4.00E-02,1.79E-01,8.85E-02,1.81E-02,8.16E-02,7.70E-02,8.24E-02
14800_42800,4.35E-02,1.10E-01,7.13E-02,4.97E-03,3.05E-02,2.67E-03,4.87E-03,3.29E-04,9.17E-02,1.50E-01,4.90E-01
15600_20400,3.92E-02,1.17E-01,9.41E-02,4.62E-02,4.01E-02,1.51E-02,1.05E-01,2.81E-03,8.40E-02,8.56E-02,3.71E-01
