,L2/3 IT CTX-1,L4/5 IT CTX,L5 IT CTX,L5 NP CTX,L5 PT CTX,L6 CT CTX,L6 IT CTX,L6b CTX,Lamp5,Sst,Vip
400_27600,8.42E-02,6.19E-02,1.58E-01,6.08E-02,4.00E-02,2.56E-02,1.50E-01,3.52E-03,7.35E-02,8.50E-02,2.57E-01
400_28400,1.57E-01,4.40E-02,1.82E-01,5.07E-02,4.43E-02,6.46E-02,1.23E-01,1.22E-02,1.21E-01,1.24E-01,7.82E-02
400_29200,2.26E-01,2.41E-02,1.52E-01,5.78E-02,3.51E-02,1.10E-01,7.39E-02,1.83E-02,1.98E-01,6.76E-02,3.67E-02
400_30000,1.36E-01,6.06E-02,1.92E-01,9.50E-02,4.93E-02,3.35E-02,8.06E-02,9.66E-03,1.66E-01,6.22E-02,1.16E-01
400_30800,5.01E-02,2.08E-01,1.20E-01,5.54E-02,6.61E-02,9.27E-03,2.06E-02,3.53E-03,1.22E-01,6.32E-02,2.81E-01
400_31600,2.02E-02,8.25E-02,1.31E-01,2.37E-02,5.78E-02,7.20E-03,1.22E-01,2.19E-03,1.71E-02,6.26E-02,4.73E-01
400_32400,8.99E-02,7.30E-02,7.88E-02,1.56E-01,2.13E-02,6.01E-02,1.06E-01,7.08E-03,1.80E-01,9.16E-02,1.36E-01
400_33200,6.93E-04,2.55E-02,2.00E-03,5.49E-03,9.41E-04,2.10E-04,1.04E-03,5.44E-05,9.33E-01,9.72E-03,2.13E-02
400_34000,1.24E-04,3.18E-03,5.41E-04,1.03E-03,1.44E-04,5.60E-05,3.06E-04,1.15E-05,9.90E-01,2.18E-03,2.65E-03
400_34800,2.03E-02,4.97E-02,5.45E-02,5.24E-02,1.60E-02,4.13E-02,4.01E-02,4.88E-03,5.86E-01,6.73E-02,6.77E-02
400_35600,4.53E-02,8.34E-02,8.71E-02,8.51E-02,3.60E-02,7.32E-02,7.20E-02,1.08E-02,2.64E-01,1.21E-01,1.21E-01
400_36400,9.64E-02,3.05E-02,1.87E-01,6.99E-02,4.49E-02,1.88E-01,1.15E-01,2.53E-02,3.29E-02,1.30E-01,8.05E-02
400_37200,3.19E-02,8.69E-02,1.39E-01,6.57E-02,6.02E-02,5.73E-02,1.74E-01,1.81E-02,7.89E-02,1.20E-01,1.68E-01
400_38000,2.39E-02,3.45E-02,1.97E-01,4.06E-02,5.15E-02,5.41E-02,3.64E-01,2.44E-02,5.78E-02,8.37E-02,6.81E-02
400_38800,6.12E-02,9.67E-02,4.62E-02,9.45E-02,1.97E-02,1.18E-01,1.86E-02,3.64E-03,1.44E-01,9.79E-02,3.00E-01
400_39600,1.22E-01,5.13E-02,1.40E-01,9.35E-02,4.41E-02,1.40E-01,9.43E-02,2.14E-02,6.00E-02,1.17E-01,1.16E-01
400_40400,2.04E-02,2.34E-02,3.14E-01,1.92E-02,5.90E-02,2.26E-02,3.27E-01,1.02E-02,2.68E-02,1.12E-01,6.59E-02
400_41200,1.74E-01,4.35E-02,1.88E-01,5.29E-02,4.31E-02,8.66E-02,1.23E-01,1.49E-02,6.65E-02,1.11E-01,9.62E-02
400_42000,3.29E-02,6.10E-02,2.82E-01,1.61E-02,7.87E-02,1.17E-02,6.26E-02,5.12E-03,2.66E-02,2.42E-01,1.82E-01
400_42800,3.88E-03,1.02E-01,1.11E-01,1.19E-02,5.83E-02,3.22E-03,4.53E-02,2.83E-03,6.51E-02,3.45E-01,2.51E-01
400_43600,9.13E-03,4.28E-02,1.48E-01,2.47E-02,5.92E-02,2.78E-02,2.84E-01,1.32E-02,4.64E-02,2.16E-01,1.28E-01
400_44400,2.20E-02,3.07E-02,1.69E-01,3.67E-02,4.26E-02,4.88E-02,3.77E-01,2.06E-02,9.78E-02,1.08E-01,4.70E-02
400_45200,9.86E-03,2.29E-02,1.26E-01,2.34E-02,3.46E-02,3.64E-02,4.36E-01,1.13E-02,4.10E-02,1.96E-01,6.15E-02
400_46000,2.67E-02,2.22E-02,1.54E-01,3.18E-02,3.66E-02,9.75E-02,3.17E-01,1.45E-02,3.86E-02,1.79E-01,8.31E-02
400_46800,9.25E-03,4.90E-02,1.39E-01,2.47E-02,6.63E-02,2.53E-02,2.83E-01,1.49E-02,4.48E-02,2.08E-01,1.36E-01
400_47600,2.73E-02,2.84E-01,7.37E-02,6.15E-02,6.07E-02,5.87E-03,1.53E-02,2.51E-03,9.07E-02,5.03E-02,3.28E-01
1200_26000,1.29E-01,4.12E-02,1.62E-01,7.15E-02,3.15E-02,3.58E-02,1.79E-01,4.94E-03,1.36E-01,9.78E-02,1.11E-01
1200_26800,1.28E-01,7.27E-02,1.56E-01,8.81E-02,4.25E-02,3.12E-02,4.32E-02,6.85E-03,2.84E-01,4.41E-02,1.04E-01
1200_27600,1.17E-01,6.79E-02,2.48E-01,8.98E-02,5.92E-02,2.94E-02,6.58E-02,9.17E-03,1.40E-01,5.10E-02,1.24E-01
1200_28400,7.84E-02,1.93E-02,1.41E-01,4.37E-02,2.94E-02,2.29E-01,1.41E-01,1.43E-02,5.72E-02,1.90E-01,5.63E-02
1200_29200,2.86E-02,1.03E-01,1.25E-01,2.00E-01,3.85E-02,5.09E-02,1.19E-01,1.57E-02,7.47E-02,1.44E-01,1.00E-01
1200_30000,4.88E-02,1.89E-01,9.02E-02,1.05E-01,5.98E-02,1.37E-02,3.42E-02,6.84E-03,1.72E-01,7.98E-02,2.00E-01
1200_30800,2.84E-02,1.73E-01,1.50E-01,6.49E-02,7.89E-02,7.04E-03,3.77E-02,3.24E-03,5.46E-02,7.97E-02,3.23E-01
1200_31600,3.75E-02,7.30E-02,1.91E-01,4.32E-02,6.97E-02,2.22E-02,1.89E-01,8.64E-03,6.24E-02,7.33E-02,2.30E-01
1200_32400,7.41E-02,9.15E-02,1.01E-01,5.91E-02,3.06E-02,2.00E-02,1.42E-01,3.71E-03,1.72E-01,1.13E-01,1.93E-01
1200_33200,1.55E-02,6.34E-02,9.86E-02,3.86E-02,3.66E-02,2.34E-02,1.25E-01,7.60E-03,3.50E-01,1.34E-01,1.08E-01
1200_34000,1.80E-02,9.89E-02,1.07E-01,7.83E-02,3.42E-02,3.34E-02,4.88E-02,8.09E-03,3.52E-01,1.03E-01,1.19E-01
1200_34800,1.72E-02,5.69E-02,4.56E-02,2.84E-02,1.90E-02,1.24E-02,3.24E-02,2.36E-03,4.08E-01,2.72E-01,1.06E-01
1200_35600,1.37E-02,4.66E-02,7.33E-02,2.24E-02,2.74E-02,1.24E-02,5.12E-02,3.39E-03,3.85E-01,2.84E-01,8.07E-02
1200_36400,6.78E-02,3.11E-02,1.66E-01,6.13E-02,4.18E-02,1.69E-01,1.59E-01,2.20E-02,3.89E-02,1.56E-01,8.70E-02
1200_37200,1.29E-02,8.82E-02,1.62E-01,3.75E-02,8.77E-02,1.84E-02,1.76E-01,1.44E-02,4.20E-02,1.85E-01,1.76E-01
1200_38000,2.66E-02,7.39E-02,1.62E-01,4.00E-02,6.17E-02,3.32E-02,8.80E-02,9.76E-03,5.75E-02,2.70E-01,1.77E-01
1200_38800,3.29E-03,7.81E-02,1.44E-02,4.87E-03,1.49E-02,1.19E-03,6.66E-03,2.59E-04,2.87E-02,4.13E-01,4.35E-01
1200_39600,4.84E-02,3.39E-02,2.79E-01,2.84E-02,7.06E-02,4.27E-02,1.68E-01,1.40E-02,2.61E-02,2.02E-01,8.69E-02
1200_40400,2.46E-02,3.64E-02,3.14E-01,1.52E-02,6.18E-02,1.81E-02,1.08E-01,6.04E-03,2.64E-02,2.74E-01,1.17E-01
1200_41200,2.42E-02,4.22E-02,3.72E-01,1.65E-02,6.25E-02,1.62E-02,6.69E-02,5.20E-03,4.77E-02,2.32E-01,1.15E-01
1200_42000,9.52E-02,4.76E-02,1.77E-01,4.04E-02,4.33E-02,1.14E-01,5.14E-02,7.81E-03,6.92E-02,1.79E-01,1.75E-01
1200_42800,1.57E-02,9.52E-02,1.29E-01,2.99E-02,4.02E-02,2.32E-02,2.97E-02,3.53E-03,1.31E-01,2.13E-01,2.90E-01
1200_43600,7.11E-03,2.51E-02,1.26E-01,1.79E-02,3.99E-02,2.03E-02,4.46E-01,1.00E-02,3.28E-02,2.09E-01,6.63E-02
1200_44400,2.53E-02,2.64E-02,1.48E-01,4.72E-02,3.47E-02,1.09E-01,2.90E-01,1.73E-02,3.76E-02,1.84E-01,8.10E-02
1200_45200,1.24E-02,1.89E-02,1.43E-01,3.76E-02,2.42E-02,6.28E-02,4.78E-01,1.34E-02,3.92E-02,1.28E-01,4.35E-02
1200_46000,1.22E-02,2.28E-02,1.35E-01,3.59E-02,2.93E-02,5.55E-02,4.61E-01,1.48E-02,3.41E-02,1.44E-01,5.55E-02
1200_46800,3.00E-02,4.57E-02,1.45E-01,4.75E-02,4.73E-02,5.55E-02,2.58E-01,1.68E-02,1.37E-01,1.39E-01,7.84E-02
1200_47600,9.11E-02,1.34E-01,9.87E-02,5.61E-02,4.75E-02,1.64E-02,2.80E-02,4.26E-03,2.18E-01,8.31E-02,2.22E-01
2000_25200,2.32E-01,4.47E-02,1.10E-01,4.24E-02,2.55E-02,7.11E-02,3.17E-02,3.22E-03,2.08E-01,7.36E-02,1.57E-01
2000_26000,2.44E-01,4.98E-02,8.17E-02,4.52E-02,1.94E-02,5.98E-02,3.67E-02,2.88E-03,1.60E-01,1.19E-01,1.81E-01
2000_26800,2.14E-01,4.79E-02,3.84E-02,4.58E-02,1.40E-02,8.70E-02,2.00E-02,2.72E-03,1.92E-01,1.39E-01,2.00E-01
2000_28400,3.57E-02,4.82E-02,1.91E-01,1.47E-01,4.29E-02,7.39E-02,1.88E-01,2.47E-02,6.15E-02,1.41E-01,4.66E-02
2000_29200,9.94E-02,6.92E-02,7.66E-02,1.64E-01,2.41E-02,6.50E-02,1.15E-01,1.13E-02,1.33E-01,1.33E-01,1.10E-01
2000_30000,4.82E-02,6.06E-02,1.95E-01,3.42E-02,5.29E-02,5.67E-03,1.73E-01,2.36E-03,1.29E-01,4.03E-02,2.59E-01
2000_30800,8.98E-02,8.40E-02,1.21E-01,6.69E-02,3.69E-02,2.95E-02,1.22E-01,4.38E-03,1.56E-01,8.71E-02,2.03E-01
2000_31600,7.04E-02,8.61E-02,8.47E-02,2.01E-01,2.32E-02,5.17E-02,8.96E-02,7.79E-03,1.37E-01,9.56E-02,1.54E-01
2000_32400,1.18E-02,8.98E-02,2.39E-02,2.99E-02,1.45E-02,3.48E-03,2.32E-02,1.03E-03,6.20E-01,5.99E-02,1.23E-01
2000_33200,2.10E-03,2.20E-02,6.29E-03,8.58E-03,2.65E-03,8.60E-04,5.39E-03,2.65E-04,9.08E-01,2.04E-02,2.31E-02
2000_34000,1.65E-02,4.35E-02,3.45E-02,4.49E-02,1.09E-02,2.53E-02,2.52E-02,2.86E-03,6.84E-01,5.29E-02,5.92E-02
2000_34800,3.50E-02,8.09E-02,1.63E-01,1.07E-01,4.46E-02,7.07E-02,1.01E-01,1.64E-02,1.72E-01,1.02E-01,1.08E-01
2000_35600,1.40E-02,9.25E-02,1.10E-01,2.17E-02,5.23E-02,6.90E-03,4.92E-02,3.16E-03,7.22E-02,3.93E-01,1.86E-01
2000_36400,5.77E-02,3.93E-02,2.04E-01,8.00E-02,4.98E-02,1.22E-01,2.07E-01,3.48E-02,5.55E-02,8.63E-02,6.40E-02
2000_37200,4.90E-02,5.60E-02,1.83E-01,1.08E-01,5.18E-02,1.13E-01,1.73E-01,3.48E-02,3.74E-02,1.07E-01,8.72E-02
2000_38000,1.02E-02,4.39E-02,1.70E-01,2.98E-02,6.45E-02,2.30E-02,4.07E-01,2.04E-02,3.12E-02,1.12E-01,8.85E-02
2000_38800,5.64E-02,6.31E-02,1.44E-01,1.01E-01,3.98E-02,1.45E-01,7.33E-02,1.28E-02,6.59E-02,1.42E-01,1.57E-01
2000_39600,5.49E-02,2.92E-02,3.81E-01,3.60E-02,6.30E-02,5.59E-02,1.66E-01,1.44E-02,1.94E-02,1.07E-01,7.26E-02
2000_40400,9.79E-02,3.97E-02,2.95E-01,3.07E-02,5.44E-02,5.32E-02,1.21E-01,1.11E-02,6.50E-02,1.38E-01,9.40E-02
2000_41200,8.62E-02,3.11E-02,3.20E-01,5.71E-02,5.32E-02,1.30E-01,9.98E-02,1.78E-02,4.03E-02,9.54E-02,6.89E-02
2000_42000,1.90E-02,5.61E-02,3.40E-01,3.05E-02,6.87E-02,2.16E-02,1.23E-01,1.06E-02,5.79E-02,1.77E-01,9.59E-02
2000_42800,1.93E-02,2.83E-02,2.19E-01,3.77E-02,4.53E-02,5.66E-02,3.02E-01,1.38E-02,3.74E-02,1.69E-01,7.15E-02
2000_43600,6.14E-03,2.23E-02,1.61E-01,1.65E-02,3.73E-02,1.88E-02,4.03E-01,7.12E-03,4.30E-02,2.16E-01,6.78E-02
2000_44400,6.63E-03,2.47E-02,1.39E-01,2.07E-02,3.79E-02,2.14E-02,5.02E-01,1.15E-02,3.47E-02,1.43E-01,5.77E-02
2000_45200,2.31E-02,2.84E-02,1.85E-01,5.43E-02,3.59E-02,7.76E-02,3.69E-01,2.15E-02,4.75E-02,1.06E-01,5.14E-02
2000_46000,2.83E-02,2.14E-02,1.98E-01,2.79E-02,3.97E-02,8.24E-02,3.17E-01,1.29E-02,5.10E-02,1.46E-01,7.48E-02
2000_46800,6.05E-02,8.00E-02,3.51E-01,5.01E-02,9.59E-02,2.75E-02,5.26E-02,1.02E-02,8.06E-02,6.16E-02,1.30E-01
2000_47600,2.19E-02,9.13E-02,2.58E-02,3.11E-03,1.29E-02,2.07E-03,9.80E-04,8.06E-05,6.78E-02,1.21E-01,6.53E-01
2800_26000,2.84E-01,2.49E-02,7.28E-02,6.56E-02,1.35E-02,7.92E-02,3.84E-02,3.91E-03,2.88E-01,6.72E-02,6.34E-02
2800_26800,9.49E-02,1.28E-01,1.26E-01,1.09E-01,5.36E-02,3.21E-02,3.86E-02,9.97E-03,2.10E-01,4.79E-02,1.50E-01
2800_27600,4.36E-02,3.78E-02,1.96E-01,5.52E-02,5.81E-02,4.79E-02,2.66E-01,2.19E-02,5.49E-02,1.73E-01,4.66E-02
2800_28400,3.77E-02,3.14E-02,1.65E-01,6.27E-02,3.94E-02,8.33E-02,2.82E-01,2.11E-02,4.86E-02,1.91E-01,3.79E-02
2800_30000,8.54E-02,5.28E-02,1.41E-01,7.27E-02,3.68E-02,2.62E-02,1.54E-01,8.29E-03,2.70E-01,5.74E-02,9.58E-02
2800_30800,8.79E-02,7.02E-02,1.32E-01,1.89E-01,3.55E-02,8.23E-02,8.44E-02,1.74E-02,8.19E-02,9.70E-02,1.22E-01
2800_31600,7.96E-02,6.79E-02,1.74E-01,4.46E-02,4.34E-02,2.00E-02,1.53E-01,3.72E-03,1.62E-01,6.89E-02,1.83E-01
2800_32400,1.74E-03,2.15E-02,3.68E-03,6.18E-03,1.86E-03,6.01E-04,3.03E-03,1.38E-04,8.91E-01,4.38E-02,2.62E-02
2800_33200,1.20E-02,5.75E-02,3.13E-02,4.37E-02,1.28E-02,1.88E-02,2.06E-02,2.58E-03,6.35E-01,8.57E-02,7.97E-02
2800_34000,2.45E-02,7.39E-02,4.71E-02,5.43E-02,1.91E-02,2.17E-02,2.38E-02,3.16E-03,5.00E-01,1.24E-01,1.08E-01
2800_34800,4.77E-02,1.12E-01,5.58E-02,1.15E-01,3.13E-02,3.41E-02,4.53E-02,6.73E-03,2.60E-01,1.42E-01,1.50E-01
2800_35600,1.33E-02,8.30E-02,1.17E-01,2.53E-02,7.58E-02,1.46E-02,1.54E-01,9.17E-03,4.71E-02,2.68E-01,1.93E-01
2800_36400,3.41E-02,3.48E-02,1.73E-01,3.75E-02,4.96E-02,6.49E-02,3.37E-01,2.14E-02,6.43E-02,1.11E-01,7.26E-02
2800_37200,7.08E-02,4.59E-02,1.51E-01,1.03E-01,4.02E-02,8.96E-02,2.13E-01,2.39E-02,7.46E-02,1.14E-01,7.45E-02
2800_38000,1.00E-01,6.28E-02,1.37E-01,8.19E-02,3.90E-02,5.95E-02,1.46E-01,8.53E-03,5.24E-02,1.14E-01,1.97E-01
2800_38800,6.34E-02,3.94E-02,1.14E-01,6.60E-02,3.79E-02,1.19E-01,1.97E-01,1.99E-02,6.00E-02,1.91E-01,9.18E-02
2800_39600,4.52E-02,3.43E-02,2.78E-01,9.62E-02,4.01E-02,1.19E-01,1.63E-01,2.09E-02,4.14E-02,1.15E-01,4.74E-02
2800_40400,2.34E-02,3.88E-02,3.90E-01,1.77E-02,6.62E-02,1.51E-02,1.40E-01,7.44E-03,3.76E-02,1.92E-01,7.20E-02
2800_41200,5.22E-02,4.20E-02,3.26E-01,4.64E-02,6.30E-02,6.98E-02,1.47E-01,1.92E-02,5.43E-02,1.02E-01,7.82E-02
2800_42000,1.95E-02,3.41E-02,2.86E-01,2.24E-02,6.19E-02,2.31E-02,2.35E-01,1.06E-02,5.92E-02,1.82E-01,6.69E-02
2800_42800,2.95E-02,2.61E-02,1.63E-01,3.81E-02,4.01E-02,1.11E-01,2.45E-01,1.48E-02,3.99E-02,2.05E-01,8.70E-02
2800_43600,2.79E-02,3.18E-02,1.25E-01,3.85E-02,4.47E-02,6.74E-02,3.19E-01,2.03E-02,3.98E-02,2.20E-01,6.57E-02
2800_44400,2.99E-02,3.09E-02,1.55E-01,5.87E-02,3.83E-02,9.29E-02,3.03E-01,2.19E-02,4.21E-02,1.73E-01,5.45E-02
2800_45200,8.41E-03,1.88E-02,1.32E-01,2.28E-02,2.78E-02,3.14E-02,5.46E-01,1.12E-02,3.68E-02,1.24E-01,4.15E-02
2800_46000,5.55E-02,3.17E-02,1.62E-01,6.70E-02,3.88E-02,1.37E-01,2.32E-01,2.87E-02,7.91E-02,1.16E-01,5.29E-02
2800_46800,1.79E-01,2.99E-02,1.36E-01,4.21E-02,3.11E-02,2.01E-01,6.41E-02,8.65E-03,8.34E-02,1.10E-01,1.15E-01
2800_47600,1.22E-01,1.07E-01,9.22E-02,5.33E-02,3.67E-02,5.27E-02,2.68E-02,4.36E-03,1.31E-01,1.03E-01,2.71E-01
3600_25200,7.09E-02,1.39E-01,1.46E-01,7.36E-02,5.97E-02,1.47E-02,2.32E-02,4.93E-03,2.65E-01,4.63E-02,1.56E-01
3600_26000,1.78E-01,5.21E-02,1.41E-01,5.86E-02,3.68E-02,6.26E-02,4.30E-02,6.72E-03,2.55E-01,5.35E-02,1.12E-01
3600_26800,1.22E-01,2.28E-02,7.54E-02,7.48E-02,1.05E-02,5.27E-02,6.59E-02,3.65E-03,4.92E-01,4.61E-02,3.45E-02
3600_27600,6.28E-02,4.13E-02,1.69E-01,5.59E-02,5.63E-02,8.99E-02,1.64E-01,2.08E-02,4.54E-02,2.22E-01,7.21E-02
3600_28400,1.61E-02,2.24E-01,4.89E-02,2.18E-01,2.11E-02,2.68E-02,2.95E-02,5.07E-03,1.36E-01,6.66E-02,2.09E-01
3600_30000,6.87E-02,9.26E-02,1.22E-01,5.58E-02,3.93E-02,2.52E-02,9.99E-02,3.07E-03,6.11E-02,6.78E-02,3.65E-01
3600_31600,9.55E-02,1.04E-01,1.09E-01,5.72E-02,3.93E-02,2.23E-02,7.95E-02,5.77E-03,1.88E-01,1.08E-01,1.91E-01
3600_32400,3.00E-04,6.39E-03,2.30E-03,2.42E-03,7.05E-04,2.62E-04,1.95E-03,8.79E-05,9.72E-01,8.80E-03,4.82E-03
3600_33200,2.65E-02,8.50E-02,1.33E-01,9.57E-02,3.65E-02,6.67E-02,7.28E-02,1.06E-02,2.21E-01,1.22E-01,1.30E-01
3600_34000,3.87E-02,4.48E-02,1.61E-01,9.49E-02,3.50E-02,1.26E-01,1.39E-01,1.88E-02,1.06E-01,1.59E-01,7.67E-02
3600_34800,2.99E-02,9.83E-02,7.47E-02,2.99E-02,3.77E-02,1.95E-02,3.84E-02,3.33E-03,9.21E-02,3.46E-01,2.30E-01
3600_35600,8.23E-03,6.23E-02,1.65E-01,2.53E-02,7.41E-02,1.42E-02,2.01E-01,9.96E-03,5.58E-02,2.56E-01,1.28E-01
3600_36400,1.11E-02,7.79E-02,1.14E-01,3.16E-02,5.09E-02,1.52E-02,1.26E-01,6.01E-03,1.09E-01,2.93E-01,1.65E-01
3600_37200,1.62E-02,3.69E-02,1.64E-01,3.44E-02,4.94E-02,4.17E-02,4.20E-01,2.37E-02,5.48E-02,8.91E-02,6.96E-02
3600_38000,3.46E-02,4.64E-02,1.93E-01,7.01E-02,4.89E-02,9.83E-02,2.38E-01,3.24E-02,8.20E-02,8.55E-02,7.11E-02
3600_38800,4.39E-02,8.53E-02,1.14E-01,8.46E-02,5.00E-02,7.24E-02,8.70E-02,1.21E-02,6.51E-02,2.11E-01,1.74E-01
3600_39600,2.11E-02,2.70E-02,3.86E-01,2.46E-02,3.98E-02,3.27E-02,1.50E-01,5.86E-03,5.57E-02,1.96E-01,6.13E-02
3600_40400,5.07E-02,3.29E-02,4.15E-01,2.68E-02,6.27E-02,3.73E-02,1.40E-01,1.13E-02,3.68E-02,1.21E-01,6.43E-02
3600_41200,9.89E-02,3.03E-02,3.15E-01,3.80E-02,6.49E-02,7.93E-02,1.37E-01,1.73E-02,2.71E-02,1.20E-01,7.33E-02
3600_42000,5.15E-03,3.04E-02,2.37E-01,1.54E-02,4.31E-02,1.08E-02,2.77E-01,5.22E-03,6.80E-02,2.35E-01,7.42E-02
3600_42800,6.43E-03,2.51E-02,1.42E-01,2.14E-02,3.50E-02,2.19E-02,4.41E-01,9.51E-03,4.97E-02,1.90E-01,5.79E-02
3600_43600,6.67E-03,2.03E-02,1.31E-01,3.25E-02,2.39E-02,3.42E-02,5.50E-01,1.21E-02,3.80E-02,1.14E-01,3.67E-02
3600_44400,6.44E-03,2.26E-02,1.14E-01,2.12E-02,3.20E-02,2.50E-02,4.68E-01,9.68E-03,2.94E-02,2.13E-01,5.93E-02
3600_45200,3.78E-02,2.72E-02,1.68E-01,6.75E-02,3.36E-02,1.25E-01,2.69E-01,2.11E-02,3.33E-02,1.59E-01,5.88E-02
3600_46000,2.51E-02,2.89E-02,1.61E-01,4.62E-02,3.55E-02,1.03E-01,3.20E-01,2.03E-02,5.47E-02,1.31E-01,7.48E-02
3600_46800,3.60E-02,1.65E-01,5.89E-02,9.02E-03,3.13E-02,3.01E-03,2.47E-03,3.39E-04,1.09E-01,8.66E-02,4.99E-01
3600_47600,8.55E-02,4.89E-02,7.85E-02,6.46E-02,2.39E-02,1.99E-01,3.31E-02,4.77E-03,1.01E-01,1.16E-01,2.45E-01
4400_25200,8.17E-02,1.46E-01,1.18E-01,9.45E-02,4.42E-02,2.30E-02,2.71E-02,4.73E-03,2.05E-01,5.26E-02,2.03E-01
4400_26000,1.21E-01,8.15E-02,1.91E-01,2.36E-02,6.18E-02,1.82E-02,3.50E-02,3.87E-03,1.28E-01,1.33E-01,2.03E-01
4400_27600,6.82E-02,2.63E-02,1.63E-01,2.56E-02,3.39E-02,8.53E-02,1.39E-01,7.07E-03,6.67E-02,3.07E-01,7.77E-02
4400_28400,1.91E-02,1.77E-01,4.76E-02,2.70E-01,1.49E-02,2.63E-02,2.86E-02,3.73E-03,1.02E-01,6.73E-02,2.44E-01
4400_29200,3.20E-02,8.34E-02,1.83E-01,4.19E-02,8.40E-02,1.92E-02,1.64E-01,9.16E-03,3.58E-02,7.68E-02,2.71E-01
4400_30000,5.84E-02,1.47E-01,2.08E-01,5.37E-02,6.92E-02,1.02E-02,2.13E-02,3.29E-03,1.61E-01,5.70E-02,2.11E-01
4400_30800,1.09E-01,7.53E-02,1.50E-01,5.80E-02,4.14E-02,2.73E-02,1.16E-01,4.39E-03,1.44E-01,7.14E-02,2.04E-01
4400_31600,1.50E-02,1.03E-01,2.97E-02,2.17E-02,2.05E-02,5.06E-03,2.34E-02,9.23E-04,2.67E-01,1.89E-01,3.24E-01
4400_32400,6.26E-02,6.47E-02,1.09E-01,1.18E-01,3.00E-02,1.25E-01,7.63E-02,1.23E-02,1.53E-01,1.29E-01,1.19E-01
4400_33200,5.68E-02,5.46E-02,4.26E-02,5.47E-02,1.55E-02,8.10E-02,2.44E-02,2.71E-03,3.57E-01,1.16E-01,1.95E-01
4400_34000,5.43E-02,7.15E-02,1.09E-01,6.71E-02,4.40E-02,6.54E-02,1.35E-01,9.90E-03,1.05E-01,1.74E-01,1.65E-01
4400_34800,1.11E-02,7.60E-02,8.15E-02,1.42E-02,4.64E-02,5.10E-03,4.08E-02,2.31E-03,6.26E-02,4.53E-01,2.07E-01
4400_35600,5.48E-02,3.74E-02,1.75E-01,7.25E-02,4.16E-02,1.69E-01,1.50E-01,2.34E-02,5.75E-02,1.30E-01,8.82E-02
4400_36400,1.13E-02,5.12E-02,1.86E-01,4.88E-02,4.98E-02,5.08E-02,2.74E-01,1.98E-02,6.92E-02,1.32E-01,1.07E-01
4400_37200,5.75E-02,4.50E-02,2.01E-01,5.37E-02,4.15E-02,4.62E-02,2.44E-01,8.16E-03,8.40E-02,8.06E-02,1.38E-01
4400_38000,7.84E-02,3.18E-02,1.88E-01,7.74E-02,3.99E-02,1.88E-01,1.39E-01,2.57E-02,4.91E-02,1.14E-01,6.91E-02
4400_38800,2.37E-02,4.40E-02,3.94E-01,1.75E-02,6.90E-02,1.77E-02,8.14E-02,6.23E-03,3.69E-02,1.96E-01,1.14E-01
4400_39600,3.46E-02,3.82E-02,4.33E-01,3.63E-02,6.00E-02,4.01E-02,1.14E-01,1.07E-02,4.10E-02,1.24E-01,6.87E-02
4400_40400,2.82E-02,3.74E-02,4.50E-01,1.80E-02,7.09E-02,1.93E-02,1.07E-01,7.45E-03,3.74E-02,1.37E-01,8.70E-02
4400_41200,3.85E-02,3.25E-02,1.87E-01,5.92E-02,4.18E-02,1.36E-01,1.87E-01,1.90E-02,4.37E-02,1.74E-01,8.12E-02
4400_42000,9.22E-02,2.72E-02,1.98E-01,6.32E-02,3.71E-02,2.24E-01,1.13E-01,1.94E-02,4.49E-02,9.83E-02,8.18E-02
4400_42800,3.55E-02,2.36E-02,1.60E-01,3.82E-02,3.36E-02,8.28E-02,3.82E-01,1.86E-02,8.15E-02,9.79E-02,4.56E-02
4400_43600,1.60E-02,2.06E-02,1.50E-01,3.30E-02,2.99E-02,6.48E-02,4.43E-01,1.45E-02,4.03E-02,1.35E-01,5.27E-02
4400_44400,2.35E-02,2.26E-02,1.63E-01,4.37E-02,3.16E-02,8.48E-02,3.87E-01,1.76E-02,3.83E-02,1.32E-01,5.57E-02
4400_45200,1.78E-02,3.57E-02,1.45E-01,3.66E-02,4.83E-02,5.52E-02,3.43E-01,1.92E-02,3.82E-02,1.79E-01,8.19E-02
4400_46000,1.63E-01,4.50E-02,1.29E-01,6.25E-02,3.49E-02,8.54E-02,1.60E-01,1.24E-02,8.89E-02,1.20E-01,1.00E-01
4400_46800,4.80E-02,1.90E-01,5.47E-02,3.32E-02,3.68E-02,1.19E-02,1.09E-02,1.81E-03,9.91E-02,1.05E-01,4.09E-01
5200_23600,2.85E-01,1.86E-02,9.69E-02,6.15E-02,1.32E-02,5.27E-02,4.13E-02,3.66E-03,3.46E-01,4.06E-02,4.01E-02
5200_24400,2.70E-01,2.26E-02,2.03E-01,5.45E-02,2.74E-02,5.81E-02,8.29E-02,6.40E-03,1.68E-01,5.50E-02,5.24E-02
5200_25200,5.38E-02,1.86E-02,9.74E-02,3.59E-02,1.54E-02,3.58E-01,4.20E-02,3.60E-03,7.32E-02,1.32E-01,1.70E-01
5200_26000,2.49E-02,2.84E-02,1.47E-01,3.49E-02,4.20E-02,6.06E-02,3.03E-01,1.59E-02,6.85E-02,2.20E-01,5.49E-02
