B cells,Dendritic cells,Endothelial cells,Epithelial cells,Fibroblasts,Monocytes and Macrophages,NK cells,PCs,PVL,T cells CD4,T cells CD8
0.040026914,0.02397097,0.16108307,0.1402467,0.002217606,0.00054098037,0.048212435,2.0951926e-05,0.1382954,0.055014804,0.3903702
0.003459525,0.25282076,0.0063130204,0.0002361776,0.043947984,0.31822374,0.003802073,0.25450203,0.00579541,0.100482896,0.010416375
0.02672156,0.04856471,0.139699,6.0868337e-07,0.23363681,0.09011682,0.012192645,0.1149953,0.012901781,0.27108157,0.05008919
4.859941e-06,7.5168005e-05,0.122307256,0.11786501,0.00041674817,0.29149717,0.21165666,0.0015875484,0.23594849,0.008674787,0.009966268
0.15947339,0.11092192,0.006448021,0.17923112,0.0573715,0.0031430195,0.12137851,0.19777635,0.040721945,0.06856488,0.054969355
0.012703143,0.08335082,0.06203779,8.1461604e-07,0.14682508,0.03616251,0.10233183,0.11561996,0.00666962,0.4249205,0.009377922
0.007373194,0.036519844,0.10184103,0.008120947,0.005832282,0.14544648,0.15465409,0.2507878,0.2552552,0.026301138,0.007868047
0.000596702,0.03262898,0.011626456,0.3354125,0.08396711,0.11552956,0.05629397,0.20409906,0.07210685,0.075363755,0.0123751145
0.034565814,0.1862466,0.34715423,0.013541426,0.28074417,0.025163636,4.3361324e-05,0.0009611127,0.0885551,0.022042742,0.000981807
0.014621366,0.013724551,0.08779385,0.13964027,0.018694779,0.0011442467,0.048307303,0.17714542,0.093458965,0.036760483,0.36870882
0.006085405,0.10157849,0.012238668,0.11123775,0.2534264,0.008986259,0.12192309,0.022368234,0.15504888,0.07585594,0.13125089
0.0032221142,0.004942845,0.04983669,0.6109278,0.00016105796,1.2004183e-05,0.027019875,2.2741008e-06,0.035883576,0.07710307,0.19088858
0.08125414,0.09026419,0.096381165,1.9380159e-05,0.07907681,0.062784016,0.10867463,0.21831568,0.0067541385,0.02847859,0.22799726
0.0025253033,0.02243628,0.035485275,0.0004525406,0.036112163,0.0006965634,0.046095125,0.1650243,0.02083039,0.4962672,0.17407487
0.002637274,0.12172877,0.14740145,6.134883e-07,0.17154852,0.09639147,0.07559492,0.2061507,0.028561208,0.14201692,0.007968092
0.00031572086,0.15462899,0.01602596,1.0885974e-07,0.015579991,0.22157684,0.039041374,0.52988565,0.016019268,0.006505587,0.0004204462
0.0013690206,0.08800943,0.10619294,0.012811056,0.135898,0.01211974,0.01623512,0.11363839,0.18107681,0.3120113,0.020638166
0.0003619285,0.03245449,0.024456903,0.21328908,0.23470652,0.005377229,0.022040589,7.133982e-05,0.18532686,0.2818773,3.7767266e-05
0.012353263,0.031141888,0.111436695,4.1092053e-06,0.034217656,0.25085735,0.046933,0.06110298,0.41910684,0.031789284,0.0010569264
0.15053663,0.0053066257,0.2602675,0.00011196996,0.06199344,0.0012607992,0.04335495,0.00023469639,0.019176837,0.15334895,0.3044076
0.015080508,0.04164527,0.28809595,9.7051845e-05,0.0064368956,0.5031041,0.035139035,0.022392577,0.08568699,0.0022386424,8.298774e-05
0.00065056526,0.0024398414,0.029424857,0.5111245,0.043257795,0.03559613,0.29627,0.0014853526,0.058770142,1.511074e-05,0.020965746
0.07049982,0.050994694,0.090723395,0.0022575106,0.15054274,0.024771318,0.1502201,0.09913726,0.01148366,0.066605575,0.2827639
3.3752508e-07,9.756139e-06,0.00023279083,0.98255074,7.894422e-07,2.5308818e-05,0.013227963,1.7819451e-07,0.0022978857,3.2746172e-08,0.0016542481
0.009575135,0.006400938,0.113551676,0.031231167,0.14728838,0.15044016,0.16872144,0.1364835,0.09554957,0.09189166,0.04886636
0.546463,0.14105827,0.051542856,6.879657e-06,0.027356666,0.023863751,0.0001337246,0.11027508,0.0025191205,0.09061222,0.0061684605
0.22163811,0.03636445,0.074115284,5.887767e-07,0.01824919,0.002443576,0.016700296,0.016605077,0.009565794,0.26925543,0.3350622
0.007136341,0.08740344,0.1787382,1.3522109e-06,0.13073719,0.015509294,0.033810563,0.33773565,0.059292004,0.1254739,0.024162006
0.0047858246,0.11926961,0.39798284,4.900199e-09,0.029060256,0.25269866,0.051071532,0.00020232951,0.02939279,0.05444682,0.061089262
0.0010542588,0.018475061,0.0007647041,0.002214938,6.9038564e-05,0.75637835,0.03911683,0.07089189,0.008794813,0.10192954,0.00031050562
0.12529123,0.04890541,0.03457458,3.084469e-07,0.020170666,0.0010781013,0.0053316103,0.01943154,0.008454811,0.6859993,0.05076242
0.030094806,0.08664261,0.016614638,6.0475104e-06,0.1489047,0.058492273,0.0019367975,0.3156951,0.0021190506,0.30789322,0.031600744
0.06816128,0.17150816,0.2642686,0.097521104,0.032605976,0.012277157,0.0011998103,0.15953225,0.017187394,0.03126598,0.14447229
0.09454208,0.0231255,0.06760549,0.10716673,0.14383084,0.11773735,0.042025257,0.24588907,0.0053068334,0.088284604,0.06448622
0.003346045,0.014901681,0.041708946,0.042911604,0.16895936,0.0010116122,0.16228561,0.28960532,0.08506703,0.04011692,0.15008584
0.012021584,0.070571706,0.1146214,2.0937493e-06,0.11854442,0.041854434,0.027903847,0.33412635,0.0370756,0.22156048,0.021718072
0.103959404,0.14233115,0.025036199,0.0012650018,0.1072941,0.03092545,0.029416222,0.18844664,0.008460504,0.33125812,0.031607214
0.020963944,0.003942382,0.19165228,0.01054742,0.20506832,0.0032331455,0.02741962,0.004391545,0.14340502,0.2811029,0.10827341
0.5030461,0.0088473465,0.003469853,1.2771047e-06,0.00010237899,7.72831e-05,0.0012748542,2.0919613e-05,0.0002874869,0.2627676,0.22010496
0.00027792028,0.0003093494,0.0004949062,0.9678322,3.4793434e-06,2.2440814e-05,0.02270658,1.4039572e-06,0.0030170763,6.1291015e-05,0.005273288
0.0133927185,0.052392382,0.030997803,4.122505e-08,0.008739222,0.4608525,0.3547764,0.058659725,0.010803392,0.009069866,0.00031592647
0.006704863,0.000838868,0.04894761,0.5416379,0.0014959432,0.01733696,0.13037442,0.008705631,0.026542392,0.00038910308,0.21702634
0.00027905861,0.019669235,0.036824062,0.012767493,0.26292804,0.06624796,0.07814027,0.31623518,0.0057253926,0.17523557,0.02594775
0.008443685,0.02249277,0.021882297,0.2622183,0.022838764,2.485883e-05,0.23005328,0.09349559,0.14567344,0.024467366,0.16840965
0.0008566139,0.0012023249,0.0067424336,0.9126364,0.00027249436,9.068911e-05,0.004905986,1.7435344e-05,0.07277944,0.00028814742,0.0002080491
0.00067742215,0.04032224,0.1095033,0.07147166,0.24433249,0.039748482,0.14300743,0.057525128,0.06748687,0.14951773,0.076407306
0.00044646597,0.0026639143,0.023674387,0.5669883,0.020246826,0.0047733923,0.11641694,0.15985963,0.005418728,0.00087776367,0.09863374
0.00012549653,0.08620864,0.02262177,1.0447102e-06,0.043814756,0.163524,0.01425663,0.56358,0.003826506,0.07266152,0.02937967
