,B,T,Mal,CAF,Macro,Endo,NK
18x20,1.43E-01,3.94E-01,3.34E-01,2.84E-02,5.10E-02,2.53E-02,2.44E-02
18x21,1.64E-01,4.41E-01,2.80E-01,2.75E-02,4.44E-02,2.21E-02,2.09E-02
18x22,1.26E-01,3.95E-01,3.63E-01,2.43E-02,4.77E-02,2.22E-02,2.17E-02
18x23,1.63E-01,4.32E-01,2.83E-01,2.91E-02,4.65E-02,2.36E-02,2.23E-02
18x24,1.46E-01,4.27E-01,3.15E-01,2.52E-02,4.42E-02,2.12E-02,2.04E-02
19x4,1.20E-01,3.63E-01,3.91E-01,2.54E-02,5.19E-02,2.47E-02,2.42E-02
19x5,1.53E-01,4.18E-01,2.95E-01,3.12E-02,5.13E-02,2.65E-02,2.51E-02
19x6,1.06E-01,3.48E-01,4.31E-01,2.20E-02,4.86E-02,2.22E-02,2.23E-02
19x7,1.13E-01,3.41E-01,4.12E-01,2.65E-02,5.52E-02,2.65E-02,2.68E-02
19x8,1.34E-01,4.19E-01,3.47E-01,2.18E-02,4.10E-02,1.89E-02,1.84E-02
19x9,1.36E-01,4.37E-01,3.28E-01,2.21E-02,4.02E-02,1.85E-02,1.80E-02
19x10,8.40E-02,2.87E-01,5.07E-01,2.07E-02,5.29E-02,2.37E-02,2.45E-02
19x11,9.94E-02,2.96E-01,4.53E-01,2.77E-02,6.20E-02,3.02E-02,3.11E-02
19x12,1.01E-01,3.32E-01,4.49E-01,2.19E-02,5.01E-02,2.27E-02,2.30E-02
19x13,1.04E-01,3.42E-01,4.39E-01,2.17E-02,4.87E-02,2.21E-02,2.23E-02
19x14,8.84E-02,3.03E-01,4.91E-01,2.05E-02,5.11E-02,2.27E-02,2.34E-02
19x15,1.08E-01,3.22E-01,4.27E-01,2.73E-02,5.86E-02,2.84E-02,2.88E-02
19x16,1.61E-01,4.26E-01,2.91E-01,2.87E-02,4.74E-02,2.38E-02,2.25E-02
19x17,1.30E-01,3.56E-01,3.70E-01,3.00E-02,5.71E-02,2.89E-02,2.82E-02
19x18,1.17E-01,3.46E-01,4.04E-01,2.62E-02,5.43E-02,2.61E-02,2.59E-02
19x19,1.27E-01,3.41E-01,3.79E-01,3.13E-02,6.04E-02,3.09E-02,3.03E-02
19x20,1.16E-01,3.68E-01,4.00E-01,2.32E-02,4.83E-02,2.22E-02,2.23E-02
19x21,3.13E-01,3.87E-01,9.12E-02,8.29E-02,4.91E-02,3.77E-02,3.96E-02
19x22,1.70E-01,4.60E-01,2.62E-01,2.65E-02,4.11E-02,2.04E-02,1.92E-02
19x23,1.61E-01,4.35E-01,2.87E-01,2.76E-02,4.51E-02,2.24E-02,2.13E-02
19x24,1.57E-01,4.20E-01,2.91E-01,3.12E-02,5.06E-02,2.61E-02,2.48E-02
19x25,1.52E-01,4.34E-01,3.02E-01,2.60E-02,4.42E-02,2.16E-02,2.05E-02
19x26,1.26E-01,3.36E-01,3.77E-01,3.28E-02,6.29E-02,3.28E-02,3.19E-02
19x27,1.20E-01,2.58E-01,3.76E-01,4.84E-02,8.96E-02,5.44E-02,5.35E-02
19x28,1.33E-01,3.60E-01,3.60E-01,3.13E-02,5.78E-02,2.97E-02,2.88E-02
20x5,1.21E-01,3.59E-01,3.91E-01,2.65E-02,5.28E-02,2.54E-02,2.56E-02
20x6,9.56E-02,3.20E-01,4.67E-01,2.12E-02,5.04E-02,2.27E-02,2.31E-02
20x7,9.95E-02,3.39E-01,4.51E-01,2.04E-02,4.70E-02,2.09E-02,2.13E-02
20x8,1.29E-01,4.09E-01,3.61E-01,2.15E-02,4.19E-02,1.91E-02,1.88E-02
20x9,1.55E-01,4.84E-01,2.72E-01,2.14E-02,3.49E-02,1.61E-02,1.54E-02
20x10,1.06E-01,3.23E-01,4.33E-01,2.62E-02,5.68E-02,2.72E-02,2.77E-02
20x11,1.12E-01,3.61E-01,4.16E-01,2.18E-02,4.69E-02,2.13E-02,2.14E-02
20x12,1.04E-01,3.35E-01,4.42E-01,2.23E-02,5.02E-02,2.30E-02,2.32E-02
20x13,1.54E-01,4.53E-01,2.95E-01,2.30E-02,3.91E-02,1.82E-02,1.76E-02
20x14,1.47E-01,3.87E-01,3.26E-01,3.21E-02,5.36E-02,2.73E-02,2.75E-02
20x15,8.37E-02,2.72E-01,5.06E-01,2.31E-02,5.92E-02,2.73E-02,2.80E-02
20x16,1.56E-01,4.29E-01,2.95E-01,2.82E-02,4.65E-02,2.34E-02,2.21E-02
20x17,1.20E-01,3.01E-01,3.91E-01,3.73E-02,7.23E-02,3.94E-02,3.91E-02
20x18,1.50E-01,4.34E-01,3.03E-01,2.61E-02,4.41E-02,2.15E-02,2.07E-02
20x19,1.53E-01,3.88E-01,3.09E-01,3.41E-02,5.75E-02,3.02E-02,2.88E-02
20x20,1.62E-01,4.48E-01,2.81E-01,2.61E-02,4.22E-02,2.08E-02,1.97E-02
20x21,1.74E-01,4.86E-01,2.47E-01,2.35E-02,3.60E-02,1.72E-02,1.62E-02
20x22,1.33E-01,4.15E-01,3.42E-01,2.37E-02,4.49E-02,2.08E-02,2.02E-02
20x23,1.78E-01,4.79E-01,2.42E-01,2.60E-02,3.84E-02,1.91E-02,1.78E-02
20x24,1.67E-01,4.61E-01,2.65E-01,2.62E-02,4.10E-02,2.03E-02,1.90E-02
20x25,1.72E-01,4.59E-01,2.62E-01,2.66E-02,4.11E-02,2.03E-02,1.92E-02
20x26,1.53E-01,3.99E-01,3.11E-01,3.12E-02,5.23E-02,2.70E-02,2.58E-02
