,B,CAF,Endo,Macro,Mal,NK,T
22x8,1.3068485e-05,7.6727345e-05,0.4845032,0.415211,0.0005155796,2.050165e-05,0.09965987
22x9,0.0075960145,0.018663555,0.013555321,0.008690522,0.93702704,0.007507908,0.0069596316
22x10,3.0981002e-05,4.3994572e-05,3.7685404e-05,0.4769447,0.5228864,1.5170095e-05,4.1095373e-05
22x11,0.00011094189,0.00010075235,0.00037890402,0.9987014,0.00027555964,0.00028980488,0.00014260992
22x12,0.7925174,5.9150374e-05,0.00016251885,0.00015790797,0.011941563,0.19393817,0.0012232357
22x13,0.22461836,0.112063594,0.2718287,0.1512088,0.18710734,0.0291452,0.024028022
22x14,0.16785711,0.17438821,0.26852047,0.043958127,0.037107892,0.096464194,0.21170402
22x15,0.15995985,0.17504862,0.20113625,0.10527918,0.17123629,0.016743485,0.17059626
22x16,3.1521183e-06,0.42105466,0.21439338,4.620429e-06,0.20157549,0.035027895,0.12794088
22x17,7.2449825e-06,0.48581406,0.21724425,6.5795975e-05,0.23036085,0.00035136813,0.06615642
22x18,0.06348204,0.2776726,0.2551865,1.28833435e-05,0.32536006,0.031118661,0.047167327
22x19,0.15179506,0.22767416,0.20290244,0.103566274,0.28088385,5.7402267e-05,0.03312081
22x20,0.109246254,0.16621932,0.21724245,0.053786702,0.12412335,0.075624056,0.25375786
22x21,0.31231055,0.20539016,0.22428153,1.8158711e-06,0.114084326,1.6446345e-05,0.14391515
22x22,0.37684992,0.07270753,0.21753821,0.023560224,0.11873951,0.09877743,0.0918272
22x23,0.388967,0.10612333,0.24203344,0.039796025,1.6553258e-06,0.10398231,0.11909631
22x24,0.08358702,0.15563317,0.21595351,2.663794e-06,0.22427545,0.20691605,0.11363208
22x25,0.36396983,0.02564181,0.16930178,0.05504143,0.13172458,0.045115136,0.20920552
22x26,0.59601766,0.00019301579,0.10272641,0.04585479,2.1453532e-06,0.07100718,0.18419887
22x27,0.47167903,0.02213468,0.183676,1.1246335e-05,4.1915678e-06,0.1977357,0.12475916
23x7,1.31048455e-05,1.6794944e-05,1.6136073e-05,0.58620125,0.00016732117,0.001043986,0.41254142
23x8,0.12031721,0.07433585,0.08530472,0.26165494,0.21323793,0.082759865,0.16238947
23x9,0.07290312,0.15246984,0.10898852,0.14453642,0.3696388,0.082844466,0.068618834
23x10,0.06457161,0.24319994,0.15468818,0.085405976,0.24794167,0.0991464,0.10504627
23x11,0.08219352,0.09410829,0.09573738,0.089629814,0.41669625,0.097884744,0.12374994
23x12,0.05767174,0.1262495,0.29613805,0.39309177,5.0980148e-06,0.12682807,1.579072e-05
23x13,0.16444893,0.22495708,0.25756025,0.017724251,2.978494e-05,0.15611598,0.17916377
23x14,6.0498623e-06,0.1875445,0.45317242,0.18781057,0.12122728,0.046960093,0.0032790485
23x15,0.02638884,0.16770993,0.37355056,0.11606209,0.1965306,0.03593017,0.083827846
23x16,0.1049575,0.22129206,0.14624496,0.30668345,3.0441839e-05,0.21861732,0.002174257
23x17,2.1045942e-05,0.29340407,0.10125975,0.11380538,0.37342668,8.83823e-06,0.11807419
23x18,0.00014819516,0.3739434,0.2934722,0.06682672,0.25773782,1.5372703e-05,0.007856318
23x19,0.18326741,0.15254536,0.31254324,3.237191e-06,0.040943544,0.15840928,0.15228792
23x20,0.3269414,0.11601185,0.24886887,0.060980413,0.113529064,0.0832912,0.05037715
23x21,0.4467345,0.0888702,0.049249202,0.023953771,0.045751013,0.16908024,0.17636108
23x22,0.4964,0.07397892,0.119670175,6.2636477e-06,0.13040753,0.09876044,0.08077662
23x23,0.39910698,0.06067268,0.18516648,0.000106974454,1.3818258e-05,0.19106473,0.16386831
23x24,0.082598664,0.14349912,0.31003547,0.069730446,0.06710733,0.099757746,0.22727132
23x25,0.0008542941,0.30335245,2.9218243e-05,0.00017949894,2.719067e-05,0.30190367,0.3936537
23x26,0.5389606,0.11434046,0.15917642,4.0796212e-06,0.10927829,0.0782259,1.4336043e-05
24x8,2.2849003e-05,0.47507995,3.973897e-05,0.3498037,0.17465402,0.000106995365,0.00029273718
24x9,7.673553e-05,3.870335e-05,8.378459e-05,0.00021626105,0.00014761084,0.99938244,5.4464006e-05
24x10,0.09810448,0.18825543,0.059515998,0.11158016,0.29938722,0.12261203,0.12054463
24x11,0.13415785,0.09424694,0.10695938,0.19517857,0.26724553,0.0976664,0.104545385
24x12,0.23529352,0.238956,0.46080345,2.7706938e-05,3.88439e-06,4.784862e-06,0.0649107
24x13,2.5284373e-05,0.21433927,0.21070251,0.05182291,0.39425492,0.0903979,0.038457196
24x14,0.053060353,0.25927302,0.28331578,0.08454238,0.13367338,0.0002468728,0.18588822
24x15,7.564868e-06,0.34296376,0.3132288,0.13368502,0.093235396,0.07954852,0.037330944
24x16,2.7110855e-06,0.13143189,0.27729288,0.11734236,0.22988129,4.4127532e-06,0.24404447
24x17,9.039333e-06,0.24632882,0.09469043,0.17709482,0.31735453,0.16449872,2.3698149e-05
24x18,0.021134589,0.26161575,0.25401628,0.019818008,0.1705925,0.08423837,0.18858449
24x19,2.7202166e-05,0.13981839,0.31772584,3.3546746e-06,0.25108507,8.685003e-06,0.29133147
24x20,0.17497039,0.08296023,0.2571495,0.11673404,0.2157173,0.15245417,1.4366953e-05
24x21,0.5337013,0.07432043,0.114658654,1.3079572e-06,3.9255515e-06,0.107843414,0.16947098
24x22,0.5458235,0.05899164,0.15417074,2.1133916e-05,3.836067e-06,0.1195342,0.121454954
24x23,0.1627683,0.035034854,0.22011396,0.065033115,0.1755529,0.10076669,0.24073026
24x24,0.24298118,0.2011654,0.17435177,7.05617e-06,0.21842617,0.011966396,0.15110207
24x25,0.27428126,0.041007515,0.24574736,3.156244e-06,0.09717209,0.14878915,0.19299951
25x9,0.19240586,0.020003289,0.14972752,0.22143517,1.277775e-05,0.37396258,0.042452767
25x10,6.4961996e-06,0.12672047,0.1266085,0.2983462,0.24492994,0.17642842,0.026959967
25x11,0.612798,0.05245678,6.180517e-05,0.00015967849,6.460892e-05,0.33444825,1.0934903e-05
25x12,1.94438e-05,0.20500052,0.13398805,0.09231136,0.43062305,7.576049e-05,0.13798185
25x13,8.253778e-06,0.22561641,0.43075374,0.037158076,0.05627524,0.08375713,0.16643117
25x14,0.13759683,0.32612363,0.058758322,0.23881108,0.17504096,0.010297066,0.053372122
25x15,1.1533969e-05,0.19896708,0.15195449,0.17076792,0.2383192,1.373533e-05,0.2399661
25x16,0.08020902,1.887592e-05,0.45389277,6.5475897e-06,0.44176492,0.02371448,0.00039337107
25x17,0.18743475,0.31599602,0.09903731,7.887288e-06,0.031108743,0.2672628,0.099152565
25x18,6.056226e-06,0.30112815,0.23955241,1.4484617e-06,0.4591349,0.00017083703,6.181872e-06
25x19,0.123653896,0.44963548,0.31456885,2.3858369e-05,3.66214e-05,2.6229285e-05,0.112054944
25x20,0.088007025,0.1502684,0.36596677,0.053025804,0.13200569,0.024249159,0.18647726
25x21,0.5085852,0.039674554,0.09873353,1.1413018e-05,3.679073e-06,0.14892754,0.20406409
25x22,0.36655658,0.044187333,0.15896654,1.2012833e-05,0.11841268,0.1396572,0.17220764
25x23,0.1889663,0.11063986,0.21930188,2.5785744e-06,2.790153e-06,0.23032095,0.25076568
25x24,0.46811754,0.068386324,0.136011,4.0669374e-06,3.7316793e-06,0.14126804,0.18620928
26x11,1.8825924e-05,0.34341165,0.30544412,1.8052746e-05,1.8023711e-05,2.8943601e-05,0.3510604
26x12,1.4085036e-06,0.38047376,0.39988855,4.530547e-06,0.17196149,0.047414187,0.0002560906
26x13,0.27589372,0.05370096,0.238309,0.16109908,0.14275917,0.12820406,3.4119137e-05
26x14,0.15733717,0.28651163,0.18745635,6.8584936e-06,3.0063227e-05,5.6632813e-05,0.3686013
26x15,1.7807658e-06,0.50293714,0.3145525,2.2211616e-06,0.08012027,0.10175212,0.0006338628
26x16,0.051803134,0.27266803,0.15529759,0.026467424,0.2850269,0.20852774,0.00020923499
