,GC,PGC,OSNs,M/TC,EPL-IN
14x28,0.35791656,0.0,0.0,0.6353667,0.0
14x27,0.64217573,0.0,0.0,0.33866695,0.012212872
13x28,0.36412802,0.1916486,0.0,0.43310893,0.0
11x27,0.20854239,0.24746904,0.0,0.5193451,0.024235113
12x28,0.17138425,0.29283196,0.0,0.5145236,0.021244196
12x27,0.4057083,0.07172083,0.0,0.50444,0.018047858
17x27,0.41962925,0.0,0.0,0.56925756,0.0
18x28,0.04423214,0.4039738,0.0,0.35148934,0.20024772
18x27,0.0675996,0.25080082,0.0,0.6694307,0.01144902
17x28,0.28176078,0.023575248,0.0,0.5241246,0.16974017
14x29,0.38122895,0.19243796,0.0,0.4111187,0.014904287
16x29,0.30484644,0.22837359,0.0,0.46406636,0.0
15x29,0.3502148,0.05896376,0.0,0.40871978,0.1815867
17x29,0.2292862,0.24828024,0.0,0.49504483,0.026216233
10x27,0.30087784,0.16887534,0.0,0.322294,0.20692879
8x23,0.2452752,0.1808593,0.0,0.48368138,0.08929582
21x27,0.16531728,0.48565915,0.0,0.30105916,0.047169685
19x27,0.22913012,0.215519,0.014662924,0.30456755,0.2361204
28x27,0.16342689,0.36056665,0.0,0.2888593,0.18502021
24x29,0.20672941,0.27837288,0.0,0.3153969,0.19929917
25x29,0.1821379,0.31332275,0.0,0.29860678,0.2058269
30x19,0.104384884,0.09622375,0.14696974,0.3708586,0.28156298
