EPL-IN,GC,M/TC,OSNs,PGC
0.01941607,6.3674793e-06,0.050556507,0.828601,0.101420015
0.0054864963,5.1363795e-06,0.52378356,0.3566256,0.11409928
0.0040629995,6.6092434e-05,0.5721376,0.34820735,0.07552597
0.0028972537,2.1255971e-07,0.45014316,0.33362797,0.21333146
0.006930757,3.0066965e-06,0.62736166,0.21670727,0.14899734
0.027343133,1.4160614e-05,0.60557586,0.19122097,0.17584592
0.018733328,0.016477864,0.5812232,0.20753346,0.17603211
0.1052708,0.2971753,0.45014763,0.11490514,0.032501154
0.028210456,0.8310125,0.13744375,0.0032016293,0.00013163598
0.023127249,0.7657827,0.17888305,0.032043558,0.00016350803
0.011378616,0.9127499,0.0038078954,0.07206058,2.9993319e-06
0.014285225,0.9847541,0.00063727685,0.0003156113,7.758164e-06
0.032380354,0.96515006,0.00201876,0.00026128546,0.00018953191
0.05792499,0.7694259,0.16958228,0.001897973,0.0011688375
0.09471189,0.109934434,0.3396871,0.29313833,0.16252825
0.1455536,0.0057462826,0.5973249,0.13797188,0.113403335
0.10092343,2.8524164e-05,0.33318204,0.3509768,0.2148892
0.008430382,4.2366314e-06,0.43211955,0.32675022,0.23269567
0.15756223,3.80498e-05,0.13168173,0.4901018,0.22061625
0.007019489,0.68562853,0.11493574,0.19237463,4.162362e-05
0.013094216,0.8013145,0.16822402,0.017155971,0.00021133876
0.03168829,0.73788357,0.13636479,0.09398366,7.972102e-05
0.04294585,0.6360282,0.16131325,0.15838596,0.0013267666
0.023309812,0.8940358,0.05753153,0.02506787,5.5026136e-05
0.011253406,0.73016644,0.2029384,0.05541586,0.0002258351
0.016257783,0.39316824,0.41065335,0.17850351,0.0014170691
0.08138119,0.14816914,0.37490964,0.20957038,0.18596968
0.05155968,0.01666773,0.54272234,0.30452687,0.084523395
0.0060179075,0.50544643,0.42159125,0.06545784,0.0014865894
0.0039755795,0.37915808,0.5029378,0.009904643,0.104023896
0.020210667,0.13035354,0.3563718,0.35431892,0.13874508
0.015636103,0.12073785,0.41629565,0.14477365,0.30255675
0.10578112,0.2909007,0.5694911,0.010759952,0.02306712
0.03562286,0.09403438,0.45394897,0.062343873,0.35404992
0.03955141,0.4107885,0.3975331,0.012930617,0.13919632
0.018872427,0.9764937,0.0018387109,0.002789859,5.328027e-06
0.0173928,0.95199525,0.02825903,0.0022824756,7.041413e-05
0.038119234,0.9530239,0.0037481498,0.005055853,5.2898566e-05
0.022627413,0.96198934,0.00965152,0.005715082,1.6663573e-05
0.010187715,0.0001206856,0.0023938806,0.8322592,0.15503852
0.015166041,0.006388111,0.06372592,0.7000586,0.2146613
0.13178252,0.0015956382,0.20762326,0.29537982,0.3636188
0.010791454,0.00022946713,0.007416905,0.76467586,0.21688639
0.014456044,0.0001660554,0.004265329,0.86662406,0.11448852
0.006622966,0.0015371756,0.030029297,0.6479223,0.3138883
0.014294255,0.48425627,0.24756749,0.17922321,0.0746588
0.11119964,0.22763753,0.36667356,0.009861926,0.28462732
0.039148733,0.0072737043,0.38653487,0.26888937,0.2981533
0.027060976,0.49147004,0.29567525,0.06638336,0.11941039
0.036249243,0.0030916254,0.20446995,0.34027633,0.41591284
0.055950265,0.031682655,0.042970598,0.089229,0.7801675
0.084188685,0.0024800817,0.3700688,0.17599505,0.36726737
0.061605733,0.0022305842,0.3990075,0.10051532,0.43664083
0.075880036,0.12363875,0.5204866,0.0014564153,0.2785381
0.09747811,0.12561724,0.46308678,0.0022678266,0.31155008
0.017436754,0.12068075,0.11408255,0.5417896,0.20601034
0.02199555,0.13101095,0.05352075,0.5711828,0.22228988
0.012347831,0.013343449,0.09599707,0.6899982,0.18831338
0.02763829,0.0050183805,0.11174426,0.5744842,0.2811149
0.011298152,0.00052502996,0.14391404,0.56455976,0.279703
0.0050044116,0.00021635744,0.18539788,0.5292351,0.28014627
0.0007537592,6.4730884e-05,0.18745595,0.57756543,0.23416014
0.0052904193,0.0025321483,0.13707346,0.6154368,0.23966716
0.05478357,0.13562196,0.5594102,0.00870653,0.2414777
0.014678847,0.002882674,0.56361324,0.05791405,0.36091122
0.014132036,0.29460427,0.585282,0.0098625915,0.09611901
0.0093144905,0.0012725162,0.54244417,0.03867469,0.4082941
0.019705033,0.41521704,0.5181103,0.002451085,0.044516604
0.014112628,0.0010024563,0.50304246,0.040905904,0.44093657
0.0009831229,5.851106e-05,0.36350465,0.017683499,0.6177702
0.0022488493,0.007472291,0.24155985,0.479469,0.26924998
0.03317271,0.96387863,0.0022397256,0.000681615,2.7279055e-05
0.013855583,0.9841237,0.00034640392,0.0016723908,1.8431759e-06
0.04940864,0.94060683,6.929788e-05,0.009902749,1.2492869e-05
0.020481937,0.97813094,0.0007541637,0.0005812266,5.171768e-05
0.049805276,0.0089088725,0.48423234,0.026420724,0.4306328
0.07460617,0.46787435,0.4477448,0.0006320192,0.009142684
0.11256962,0.24567743,0.4674313,0.16666111,0.0076605156
0.13389316,0.024750372,0.5303202,0.033361718,0.27767456
0.11758177,0.0042711035,0.5845882,0.0029473947,0.2906115
0.04512349,0.3226214,0.3876959,0.00014215817,0.24441701
0.016802276,0.97414243,0.0011274759,0.0017399946,0.0061878283
0.0074873813,0.99225664,0.00010525065,0.00013374978,1.6985556e-05
0.03544637,0.00015842276,0.244993,0.3422067,0.37719548
0.015960837,0.16751301,0.2945096,0.2181019,0.30391467
0.02699724,4.2500138e-05,0.029668782,0.8047716,0.13851993
0.017300721,0.00018598315,0.01104297,0.8993535,0.07211683
0.016158229,0.0028011922,0.5221459,0.19884469,0.26004994
0.019443393,0.001613185,0.10558601,0.6473686,0.22598882
0.019471304,0.0023988278,0.39885446,0.25245583,0.32681966
0.06510453,0.00027112907,0.47931027,0.22568989,0.22962418
0.00020754387,1.4292294e-06,0.3467983,0.5969863,0.056006398
0.004317207,3.237581e-05,0.3961409,0.33554882,0.2639607
5.5744025e-05,0.000108576285,0.017677888,0.93922305,0.042934705
0.019792074,0.00058224896,0.18218316,0.6904671,0.10697539
0.00035742717,2.5145544e-06,0.0040735975,0.8096715,0.1858949
0.12523676,9.691744e-05,0.00038134534,0.80027467,0.07401028
0.009290041,0.00012979383,0.30793655,0.39532164,0.28732198
0.00914287,0.25281507,0.30504516,0.248958,0.1840389
0.009909247,0.6579441,0.0033563124,0.119366385,0.20942397
0.002798253,0.4405783,0.2824579,0.14446718,0.12969832
0.18271269,0.007782687,0.10610261,0.21528846,0.48811358
0.050729707,2.9991801e-05,0.16103111,0.42455631,0.36365288
0.000783141,3.1167223e-05,0.0049768817,0.77716243,0.21704638
0.00090848544,0.053113334,0.00060791464,0.87434304,0.07102719
0.056694414,0.0013189701,0.3307733,0.27295104,0.3382623
0.0028131783,0.00017890894,0.49832255,0.18969546,0.30898988
0.15954985,0.00013858119,0.07039529,0.632673,0.13724326
0.041351877,0.0009462522,0.3399742,0.32835668,0.289371
0.012851021,0.00074873184,0.46129763,0.20967914,0.3154235
0.0027805627,0.00023239387,0.38924032,0.27408063,0.33366615
0.039270114,0.002471708,0.29845983,0.3647958,0.29500258
0.0048573827,0.0011483695,0.18716732,0.61757416,0.1892528
0.0007910571,1.5836664e-05,0.011797069,0.7186767,0.26871935
0.00049073435,0.1605536,0.012453119,0.21840078,0.6081017
0.04342624,0.027669232,0.45371425,0.29917145,0.17601879
0.013018753,3.0308749e-05,0.20324926,0.37222475,0.41147697
0.012445676,0.0431967,0.17524853,0.3844024,0.3847067
0.08206608,0.0061056423,0.5952209,0.0044671767,0.3121401
0.12082626,0.10563766,0.5091786,0.1338987,0.1304588
0.1210812,0.8062477,0.017696263,0.045819543,0.009155308
0.050377995,0.94796705,4.7393813e-05,0.0015293213,7.829651e-05
0.013167985,0.9863093,4.1079857e-05,4.5738743e-05,0.00043581548
0.007741627,0.99099827,4.3613058e-05,0.0011423712,7.418197e-05
