"","B cells","Dendritic cells","Endothelial cells","Epithelial cells","Fibroblasts","Monocytes and Macrophages","NK cells","PCs","PVL","T cells CD4","T cells CD8"
"2112",0,0.112921224441874,0,0.520589175508015,0.103160556101643,0.106119679542556,0.00792682734938587,0.0235340837838555,0,0.125748453272671,0
"2113",0,0,0,0.388263028643025,0.200922109588339,0.222950492919489,0,0.187864368849147,0,0,0
"2114",0,0,0.105943437361325,0.0946594559533704,0.213410382446945,0.282605312284512,0,0.303381411953847,0,0,0
"2115",0.00112001568622139,0.17631377334102,0.10160701601429,0.0492662167681186,0.0510069164183631,0.047163798767523,0.160258473875478,0.0748354903421601,0,0.186742746070863,0.151685552715963
"2116",0,0.087206680624216,0,0.744388551170336,0.113758879190406,0.0290146092358856,0,0.0256312797791559,0,0,0
"2117",0,0.0846962172437389,0,0.78127643137625,0.050756190929386,0.0373016381875561,0,0.00828212115041476,0,0.0376874011126541,0
"2118",0,0,0,0,0.128888804505967,0.261407783231885,0,0.609703412262149,0,0,0
"2119",0,0,0,0.944722866561326,0.00276433421852146,0.0429650124395772,0,0.00954778678057515,0,0,0
"2120",0,0,0,0,0.67077191176469,0,0,0.32922808823531,0,0,0
"2121",0,0,0,0,0.588480148108974,0.002750205761667,0,0.408769646129359,0,0,0
"2122",0,0.0462328620509007,0,0.695400761840956,0.0825066981834445,0.0449378752900266,0.0215944966970982,0.068376658467623,0,0.0409506474699507,0
"2123",0.0171573645153539,0.0459138733249487,0,0.202527571996538,0.47321181467383,0.0628046841531,0.0252246205596942,0.173160070776536,0,0,0
"2124",0,0,0,0,0.185520267174413,0.255224258666632,0,0.559255474158955,0,0,0
"2125",0,0,0,0.0180777322815769,0.255562729178224,0.656335696318464,0,0.0700238422217351,0,0,0
"2126",0,0,0,0.514416826386361,0.101078420112658,0.301752008725336,0,0.0827527447756457,0,0,0
"2127",0,0,0,0,0.753895730294716,0.231157165266347,0,0.0149471044389361,0,0,0
"2128",0.00434695090288395,0,0.125337971473803,0.20770618583228,0.313048007860606,0.210488899196465,0.023441759797535,0.115630224936427,0,0,0
"2129",0,0.0214636096134346,0,0.648425297457817,0.178298773704238,0.031859341255229,0,0.119952977969281,0,0,0
"2130",0,0.14542813531763,0,0.321981517802565,0.144076516869201,0.129700499423741,0.0330500739269662,0.063248756759557,0,0.16251449990034,0
"2131",0,0.169296051901458,0.00161387692390861,0.307121814758006,0.0876003112226663,0.119931010577597,0.071320295023205,0.0164048683568247,0,0.203521803333339,0.0231899679029946
"2132",0,0.0312709969001268,0,0.920038133183342,0.00125412698202138,0.0298793259433596,0,0.0175574169911501,0,0,0
"2133",0.0395225082774997,0.0436051400943786,0.341253400878753,0.0887911254853829,0.242983235732782,0.0963153687947302,0.0442384524857546,0.0594090350145674,0,0.0438817332361515,0
"2134",0,0,0,0.640668059205049,0.100137665362273,0.126313346901407,0.0169696651467182,0.11476084931486,0,0.00115041406969206,0
"2135",0,0.071202020116085,0,0.480610459577851,0.0713381447269706,0.107869365883294,0.0838038730939379,0.0119979222822206,0,0.145865199603049,0.0273130147165922
"2136",0.0203547924098646,0.0447304610064265,0.128118950390335,0.120701282423404,0.271940959543903,0.11599971613038,0.0711286061573973,0.154522457447545,0,0.0579243560265008,0.014578418464244
"2137",0,0,0,0.998658711990232,0,0,0,0.00134128800976781,0,0,0
"2138",0,0.122441621536677,0,0.568364709748347,0.0860563422237187,0.122979899843018,0,0.010670977235404,0,0.0894864494128342,0
"2139",0,0,0,0.218400333037712,0.514117307052637,0.0819265343439361,0,0.185555825565715,0,0,0
"2140",0,0,0,0.0202005264583871,0.465505365663241,0.106825283066585,0,0.407468824811786,0,0,0
"2141",3.80019568701485e-05,0.0988925288864325,0.108780917614622,0.176096021191319,0.176817937504755,0.105997348128993,0.0435752238656243,0.251724803020414,0,0.0380772178309692,0
"2142",0,0,0,0.276855268791007,0.446347240913864,0.103210421112436,0,0.173587069182693,0,0,0
"2143",0,0.101449086238848,0,0.176530287915285,0.390399839546654,0.0717809182807398,0,0.259839868018474,0,0,0
"2144",0,0.0821222786239248,0,0.67070549264152,0.0716024343171592,0.0153067735679838,0.0559035160441845,0.0389787806592101,0,0.0393009927462278,0.0260797313997893
"2145",0.066427648872316,0.140756468612553,0.0952227070889151,0.11803683260419,0.261010618813238,0.0989706632607759,0.0319943313861715,0.176931535071089,0,0.0106491942907514,0
"2146",0,0.0798134799014346,0,0.329735767971886,0.249569549832469,0.103094708969757,0,0.237786493324453,0,0,0
"2147",0.0162046885370159,0,0.196572962724737,0.0152936315635542,0.660429469610322,0.0187340725497731,0,0.0927651750145978,0,0,0
"2148",0,0.0625542685555935,0,0.23657151216278,0.258229968377176,0.119647934511563,0,0.321070177151217,0,0.0019261392416707,0
"2149",0,0.0708246811464006,0,0.174881004875052,0.55326590826625,0.143502479870249,0,0.0575259258420478,0,0,0
"2150",0,0.0474954598813297,0,0.0212268452260057,0.29809287230687,0.0335556487830124,0,0.599629173802782,0,0,0
"2151",0,0,0,0,0.588133366922113,0.0610188104196142,0,0.350847822658273,0,0,0
"2152",0,0,0,0,0.295055327476499,0.114799110657801,0,0.5901455618657,0,0,0
"2153",0,0.182323899720493,0,0.416011588332215,0.100009766385314,0.123776347481599,0.0149469652427502,0.00686368140855201,0,0.156067751429078,0
"2154",0,0,0,0,0.962191422869585,0.0378085771304147,0,0,0,0,0
"2155",0,0.101521935391459,0,0.454344120288792,0.261365409500922,0.0687001120125143,0,0.114068422806313,0,0,0
"2156",0.0119806668819388,0.0467971471655437,0.250913924167115,0.123514163568718,0.407655194531703,0.0593324336202956,0.0127309703958864,0.0870754996687997,0,0,0
"2157",0,0,0,0.0907871154406341,0.239485969106245,0.403437776706063,0,0.266289138747057,0,0,0
"2158",0,0.0305441505486475,0.0756571550940616,0.336889665747349,0.277649257593741,0.102042056970542,0.030835223319526,0.134232273782542,0,0.0121502169435908,0
"2159",0,0,0,0.15448181107358,0.683017126819885,0.012876903001325,0,0.14962415910521,0,0,0
"2160",0,0.0246673493460029,0,0.122248516404092,0.571148275027743,0.0954459426046423,0,0.18648991661752,0,0,0
"2161",0,0,0,0,0.362464288669021,0,0,0.637535711330979,0,0,0
"2162",0,0,0,0,0.756643525879262,0.23553563075354,0,0.00782084336719857,0,0,0
"2163",0,0.052534253752887,0,0.878648028053368,0,0.0688177181937447,0,0,0,0,0
"2164",0,0,0,0,0.469446794327121,0.217058068119694,0,0.313495137553185,0,0,0
"2165",0,0,0,0.0275484949210581,0.260889945438376,0.129852310851824,0,0.581709248788742,0,0,0
"2166",0,0,0,0,0.883961338601928,0,0,0.116038661398072,0,0,0
"2167",0,0,0,0,0.32033992815694,0.0154149480261801,0,0.66424512381688,0,0,0
"2168",0,0.0403571118352285,0,0.218688784842896,0.363106058526429,0.126030148394846,0,0.251817896400601,0,0,0
"2169",0,0,0,0.0581336780216219,0.646326884092101,0.260554726503716,0,0.0349847113825607,0,0,0
"2170",0,0,0,0,0.0293005312521692,0.47120602125015,0,0.49949344749768,0,0,0
"2171",0,0,0,0.255456093367572,0.327692986436449,0.207021952463707,0,0.209828967732272,0,0,0
"2172",0,0,0,0,0.381583707761771,0,0,0.618416292238229,0,0,0
"2173",0,0,0,0.480440352975387,0.204505971603176,0.0237432246347589,0,0.291310450786679,0,0,0
"2174",0,0,0,0.894507963537023,0.0394600836154487,0.0368285516571391,0,0.0237056869449715,0,0.00549771424541733,0
"2175",0,0,0,0,0.00235221296139808,0.93511259556138,0,0.0625351914772222,0,0,0
"2176",0,0,0,0,0.332535640581652,0.392959611302607,0,0.274504748115741,0,0,0
"2177",0,0.046017012733253,0,0.438942326898359,0.294635268768993,0.0689395719431515,0,0.151465819656243,0,0,0
"2178",0,0.0164621588650454,0,0.392297255650049,0.485376835249566,0.027881456061375,0,0.0779822941739648,0,0,0
"2179",0,0.108571435577497,0.0721626421052635,0.175041900104064,0.344910711615893,0.0810845481537723,0.054866256500906,0.0675913103121455,0,0.0869458820441599,0.00882531358629879
"2180",0,0,0.074011814123367,0,0.839876924879682,0.0663142503284866,0,0.0197970106684641,0,0,0
"2181",0,0,0,0,0.0790379929069534,0.345816874956407,0,0.575145132136639,0,0,0
"2182",0,0,0,0,0.548985297605732,0.0170523154409929,0,0.433962386953275,0,0,0
"2183",0,0.133106088286378,0,0.703246011186646,0.0379702232055068,0.113085433451031,0,0.000851017820300212,0,0.0117412260501375,0
"2184",0,0.0306073570459407,0,0.220007492812355,0.561448693888396,0.06983783328634,0,0.118098622966969,0,0,0
"2185",0,0.124376965599582,0,0.532106138694056,0.0652045059156457,0.0814328593980089,0.0383635910134563,0.0125515328210204,0,0.145964406558231,0
"2186",0,0.0548072031375496,0,0.844453194575178,0,0.100739602287273,0,0,0,0,0
"2187",0,0,0,0,0.250950903512968,0.411703641295883,0,0.337345455191148,0,0,0
"2188",0,0.109551038261747,0,0.415187796779076,0.0668886711205735,0.143572257371669,0.0551594863972114,0.0134365313298161,0,0.193138517187993,0.00306570155191434
"2189",0,0.117677708282563,0.116735781191326,0.247020509447443,0.120394850689772,0.104750634239769,0.0832759530040179,0.0624326807919961,0,0.106829609687411,0.0408822726657016
"2190",0,0.099586240604648,0,0.436603314003725,0.268069385203656,0.0786725188924858,0,0.0809889441607023,0,0.0360795971347832,0
"2191",0,0.0646942560215701,0,0.180066143171959,0.473773643327907,0.108391956085118,0,0.173074001393445,0,0,0
"2192",0,0.0769421638857987,0.0114047084703168,0.330825662856557,0.198988122215505,0.13456835714387,0.0219217118312145,0.175276318674912,0,0.050072954921826,0
"2193",0,0,0,0,0.282242860383562,0.574160251725399,0,0.143596887891039,0,0,0
"2194",0,0.301128512826458,0,0.350583497293861,0.123070651511244,0.219949658574613,0,0.00526767979382462,0,0,0
"2195",0,0.0716523060627725,0,0.59171466517975,0.159177092548826,0.0245430183889929,0.0427815147071476,0.0479873333604244,0,0.0522035903980183,0.00994047935406747
"2196",0,0.133199915882451,0.148172368543166,0.0679195687136598,0.191019707572133,0.0912619813366198,0.0675836616886178,0.222278027616545,0,0.0507012974000758,0.0278634712467315
"2197",0,0,0,0,0.125966007586999,0.569682687486983,0,0.304351304926018,0,0,0
"2198",0,0.0820485737051337,0,0.635002753803967,0.107218936163679,0.0762189258529197,0.0178449788696893,0.0125520415094908,0,0.0691137900951206,0
"2199",0,0,0,0.070532592143685,0.251700254407437,0.376587189011446,0,0.301179964437432,0,0,0
"2200",0,0,0,0.0983794164702244,0.0043211655670838,0.812110547772087,0,0.0851888701906048,0,0,0
"2201",0,0.11754405330764,0,0.369067818850088,0.179438254415265,0.203452817482813,0,0.0569946116081903,0,0.0735024443360029,0
"2202",0,0,0,0.374294987311156,0.0996188284510393,0.257682286334393,0.071741548625387,0.0571662721901606,0,0.113296921534269,0.0261991555535957
"2203",0,0.0811254927659273,0,0.862625205925196,0.012919172577468,0.0277094650739047,0,0.0156206636575037,0,0,0
"2204",0,0.0256767107795146,0.0170771703251757,0.293422413356418,0.200549795996654,0.1907211029337,0.0820436250942718,0.0595324631316521,0,0.0933267203189455,0.0376499980636681
"2205",0,0.148495850637756,0,0.575383632841608,0.081401695963526,0.124418101795685,0,0.000851898777759684,0,0.0694488199836658,0
"2206",0,0.062657750494809,0,0.707896478610172,0.140831206071037,0.00280179565519785,0.0348963942271913,0.03251339072398,0,0.012919354668083,0.00548362954952992
"2207",0,0.118270038632749,0.221721855329776,0.0971823491368003,0.116968173325333,0.114666135163529,0.105524821814321,0.0409817139481219,0,0.116154457302083,0.0685304553472875
"2208",0,0.0250070229982282,0,0.169442680014399,0.124154406070631,0.0519581742199369,0,0.629437716696806,0,0,0
"2209",0,0.080870873642355,0.0226220189986862,0.110455138784124,0.204357592207505,0.027136055550742,0,0.554558320816588,0,0,0
"2210",0,0,0,0.0124109350252655,0.527222047904753,0.102418152645332,0,0.35794886442465,0,0,0
"2211",0,0.119282332165685,0,0.818628996459047,0.0230567493319993,0.0202504614065541,0,0.0166643551233297,0,0.00211710551338526,0
"2212",0,0,0,0.165049614235706,0.0323058536709955,0.76895267856951,0,0.0336918535237888,0,0,0
"2213",0,0,0,0.0932574319393155,0.589812599720122,0.128891222783113,0,0.18803874555745,0,0,0
"2214",0,0.179586781031353,0,0.555310747835292,0.0652515257198736,0.0836651761979404,0.00140753237933703,0,0,0.114778236836204,0
"2215",0,0.0564396070784229,0,0.652747020326507,0.0393864685702621,0.0480926955741319,0.0511884728842426,0.0196801867868926,0,0.122926549045715,0.00953899973382616
"2216",0,0,0,0.0123018164837007,0.793987842239137,0.0588980468985086,0,0.134812294378653,0,0,0
"2217",0,0,0.118200069284433,0.170802243033933,0.368731237372783,0.225943343265257,0,0.116323107043594,0,0,0
"2218",0,0.0693142143441426,0.00767507334832409,0.591036373997171,0.0752911235754446,0.0536207514441676,0.0567601855741982,0.0318254660573247,0,0.0978962759697424,0.0165805356894847
"2219",0,0,0,0.832467121899608,0.043769295981409,0.0157240289199406,0.0260651981648931,0.0131193275367842,0,0.0688550274973653,0
"2220",0,0,0,0.183509696669536,0.332212114513162,0.326616013854475,0,0.157662174962827,0,0,0
"2221",0,0,0,0.285757212036394,0.490626102582116,0.0990564681864583,0,0.124560217195032,0,0,0
"2222",0,0.0325243356683148,0,0.584721117395271,0.25891109910228,0.0537704991062753,0,0.0700729487278592,0,0,0
"2223",0,0.0211328225971387,0,0.608640297505692,0.183905378231209,0.109520434135508,0,0.0727566891019414,0,0.00404437842851125,0
"2224",0,0.0234909229528744,0,0.0628829465997022,0.220492561561475,0.043622380450866,0,0.649511188435083,0,0,0
"2225",0,0.084193076297135,0.0125002656791722,0.401647721452821,0.226381126681182,0.0755187615159272,0.0343404172176828,0.139616901137541,0,0.0258017300185396,0
"2226",0,0.00547639305220516,0,0.956944510100314,0,0.0119133019411944,0,0.0256657949062865,0,0,0
"2227",0,0.166257231743167,0,0.547256631478774,0.0367062580864265,0.0968922059976106,0.02386345421919,0.0597927684853985,0,0.0692314499894332,0
"2228",0,0.133911094969814,0,0.725247205390418,0.0321185080715262,0.0228173724014276,0.0174031436366845,0,0,0.0685026755301298,0
"2229",0,0,0,0,0.0819072342652623,0.00461372501442794,0,0.91347904072031,0,0,0
"2230",0,0,0,0,0.916041601341765,0,0,0.0839583986582354,0,0,0
"2231",0,0,0,0,0.337625359769805,0.186529568062448,0,0.475845072167747,0,0,0
"2232",0,0.0492750044476222,0,0.88670225879714,0.0158414283712736,0.0153619933725119,0.00331750331305145,0.0189855558450941,0,0.0105162558533063,0
"2233",0,0,0,0.255100034549762,0.279619449324376,0.324932194691127,0,0.140348321434735,0,0,0
"2234",0,0.112946628297318,0,0.737090204723678,0.072399249841979,0.0382901553343509,0,0.0344388986702374,0,0.00483486313243674,0
"2235",0,0.0888610595860907,0,0.355439255527376,0.210462849718452,0.112690665079468,0.00994828341482172,0.132623881306459,0,0.0899740053673331,0
