EPL-IN,GC,M/TC,OSNs,PGC
0.142119406,0.329898105,0.278899819,0.083857193,0.165225476
0.115263951,0.260197563,0.335717202,0.098251371,0.190569913
0.117482873,0.25177257,0.314630513,0.125297231,0.190816812
0.129221381,0.323645383,0.258743521,0.109673774,0.178715941
0.08456991,0.251603539,0.380159777,0.109070287,0.174596487
0.084742569,0.289394739,0.323599479,0.123676134,0.17858708
0.098082401,0.219648408,0.366117761,0.07339372,0.242757709
0.064289829,0.236705036,0.407492837,0.130802896,0.160709401
0.082924892,0.266154864,0.325533179,0.103633726,0.221753338
0.070557232,0.323569646,0.313963164,0.127949253,0.163960704
0.1682537,0.379760036,0.157234626,0.115150027,0.179601611
0.139441304,0.390400779,0.153731005,0.119110267,0.197316645
0.136994058,0.380925434,0.164382689,0.12807395,0.18962387
0.176717378,0.396383805,0.141220661,0.120667035,0.165011121
0.116508101,0.279837016,0.209470988,0.260685201,0.133498693
0.111210667,0.315221736,0.223734572,0.215854824,0.133978201
0.128112774,0.236681394,0.290469546,0.153788406,0.19094788
0.10769342,0.278549883,0.231982066,0.25738641,0.124388222
0.059376276,0.337220941,0.223546525,0.263576648,0.11627961
0.094525348,0.31170676,0.236134687,0.248993309,0.108639895
0.136601,0.272274039,0.287089421,0.11558744,0.188448101
0.076539967,0.255972448,0.322526197,0.209141706,0.135819682
0.118325561,0.178872573,0.375285443,0.087108959,0.240407464
0.105647067,0.185472904,0.396689703,0.127171623,0.185018703
0.142571112,0.231450171,0.286411653,0.128345085,0.21122198
NA,NA,NA,NA,NA
0.169647267,0.211367916,0.234885711,0.092748186,0.291350921
0.137917559,0.205224569,0.284575787,0.078278213,0.294003871
0.114973789,0.189176991,0.344407577,0.187906195,0.163535449
0.103552568,0.251777998,0.322949299,0.176512431,0.145207704
0.142134297,0.298269144,0.247932848,0.17706211,0.134601601
0.143990948,0.271996259,0.225146288,0.191492414,0.167374091
0.097238267,0.312398226,0.235220798,0.217163759,0.13797895
0.122211021,0.273272072,0.223734339,0.206294032,0.174488536
0.109141466,0.250621498,0.231125535,0.220916897,0.188194604
0.122757781,0.268431127,0.203953082,0.212548613,0.192309397
0.117219164,0.298284576,0.244278108,0.208063678,0.132154475
0.100622475,0.276559596,0.244030938,0.251330686,0.127456304
0.098626478,0.246142777,0.293257912,0.213856334,0.148116498
0.118687847,0.198901215,0.280699605,0.158060312,0.24365102
0.07575847,0.232805174,0.403997738,0.109952958,0.17748566
0.112503058,0.196755345,0.334590476,0.077524851,0.278626271
0.093750842,0.253750089,0.338551825,0.132842686,0.181104559
0.090947932,0.263543397,0.331075689,0.153135317,0.161297665
0.138748191,0.22563614,0.286274988,0.192090019,0.157250661
0.119817045,0.270771246,0.221588513,0.177370257,0.210452939
0.137510474,0.390140031,0.178221293,0.111333048,0.182795155
0.106552591,0.308054042,0.208960635,0.13840795,0.238024781
0.110783889,0.354584445,0.199908835,0.141523241,0.19319959
0.148530957,0.381250838,0.175213216,0.105533976,0.189471014
0.079195585,0.224188543,0.344937138,0.135326996,0.216351738
0.123449857,0.285540199,0.30370079,0.099796562,0.187512593
0.051379086,0.277961966,0.336279247,0.198776394,0.135603306
0.089091043,0.242127926,0.350467629,0.09968691,0.218626492
0.017876534,0.251318538,0.443595225,0.107325642,0.179884062
0.090102475,0.280544914,0.344152895,0.119695711,0.165504004
0.147204684,0.353258201,0.154343843,0.127415097,0.217778175
0.164854355,0.402773156,0.130718174,0.114317795,0.187336519
0.096405869,0.170650857,0.383215434,0.096884114,0.252843725
0.035424512,0.249574584,0.390828109,0.125708874,0.198463921
0.124032468,0.292238104,0.237472641,0.21331089,0.132945898
0.086847418,0.291672598,0.240495859,0.244849136,0.13613499
0.071157254,0.238243398,0.354943996,0.133539652,0.202115701
0.080273955,0.340718678,0.242879773,0.187937158,0.148190436
0.118073306,0.274016658,0.266223621,0.210901085,0.130785329
0.107281458,0.265281216,0.299408955,0.184217455,0.143810917
0.124488243,0.267742057,0.23879841,0.207288231,0.161683059
0.093332144,0.199980246,0.338567446,0.145671304,0.22244886
0.093958982,0.213709062,0.283635371,0.262304983,0.146391602
0.121864771,0.258773504,0.269787433,0.211739688,0.137834604
0.14393962,0.270257866,0.247361714,0.21511417,0.123326631
0.11290102,0.283974824,0.262361713,0.214042498,0.126719946
0.150966802,0.229312594,0.24356692,0.131762541,0.244391142
0.121427973,0.312710115,0.251804529,0.157845807,0.156211576
0.187725187,0.376061193,0.165173068,0.092382482,0.17865807
0.157506547,0.325867321,0.240239295,0.080906853,0.195479984
0.078563872,0.233145745,0.399053881,0.114563425,0.174673076
0.089894305,0.260032463,0.250534578,0.179672976,0.219865678
0.101512048,0.294889674,0.239516745,0.248197029,0.115884504
0.101212036,0.264639964,0.296239553,0.2219186,0.115989846
0.146298452,0.257620501,0.263306518,0.154734915,0.178039614
0.10164269,0.225636068,0.308141535,0.225201226,0.139378481
0.105542496,0.29781184,0.257004394,0.179046192,0.160595079
0.069619002,0.225143429,0.32011437,0.22363358,0.16148962
0.128050153,0.224267678,0.32160113,0.080610591,0.245470448
0.133941206,0.204071674,0.275262196,0.106241116,0.280483808
0.124442074,0.270655691,0.230856571,0.133296804,0.24074886
0.125852962,0.249921869,0.278388611,0.205653701,0.140182856
0.082785063,0.23875513,0.279360562,0.28294177,0.116157475
NA,NA,NA,NA,NA
0.096175222,0.282694337,0.287059571,0.140445652,0.193625217
0.111781278,0.241052299,0.270979122,0.159372557,0.216814745
0.143650685,0.263290332,0.271325294,0.168296296,0.153437393
0.148039439,0.252955779,0.242734492,0.11571387,0.24055642
0.122162512,0.281757038,0.256054217,0.1816142,0.158412032
0.157004208,0.362346052,0.165575064,0.125493911,0.189580765
0.171288111,0.346640959,0.166469559,0.122724263,0.192877109
0.157272304,0.400146809,0.141149782,0.127903273,0.173527831
0.198055718,0.344520972,0.158001988,0.112946567,0.186474755
0.143048833,0.36428218,0.180128873,0.139584792,0.172955323
